	gamma	gamma	gamma
	Rep1	Rep2	ave_Rep1_Rep2
common:TSS100115_+_22475297.23-CUFF.46684.1	-0.08741792340104182	-0.1594102846865329	-0.12341410404378736
common:TSS100115_+_22475387.23-CUFF.46684.1	-0.009301579965855738	0.08169820860159835	0.03619831431787131
common:TSS100115_+_22475503.23-CUFF.46684.1	-0.17182763879985477	-0.2535033731365817	-0.21266550596821826
common:TSS100115_+_22475508.23-CUFF.46684.1	-0.10227334508280321	-0.01416488893041835	-0.05821911700661078
common:TSS100115_+_22475535.23-CUFF.46684.1	-0.0578354745838261	0.13794966651063326	0.04005709596340358
common:TSS100115_-_22475334.23-CUFF.46684.1	0.11653882945669845	0.20978994410905552	0.16316438678287698
common:TSS100115_-_22475436.23-CUFF.46684.1	-0.14549099061734228	0.013701683796754136	-0.06589465341029407
common:TSS100115_-_22475448.23-CUFF.46684.1	-0.12770048291298322	0.11099844813053941	-0.008351017391221904
common:TSS100115_-_22475487.23-CUFF.46684.1	0.5119423112485926	-0.21484297310392747	0.14854966907233255
common:TSS100115_-_22475553.23-CUFF.46684.1	0.37133339620202804	0.07906135624872493	0.2251973762253765
common:TSS100132_+_23429031.23-CUFF.46709.1,CUFF.46709.2	0.30384936161412757	-0.1281934252522701	0.08782796818092874
common:TSS100132_+_23429034.23-CUFF.46709.1,CUFF.46709.2	0.06810648423657238	0.10743409246682685	0.08777028835169962
common:TSS100132_+_23429037.23-CUFF.46709.1,CUFF.46709.2	-0.06969123191853493	-0.2531093010020401	-0.16140026646028752
common:TSS100132_+_23429058.23-CUFF.46709.1,CUFF.46709.2	-0.2120863078975848	-0.09582104771970403	-0.1539536778086444
common:TSS100132_-_23428698.23-CUFF.46709.1,CUFF.46709.2	0.05586004569921275	0.42389250978849224	0.2398762777438525
common:TSS100132_-_23428917.23-CUFF.46709.1,CUFF.46709.2	-0.17138914871485406	0.06510404990679382	-0.05314254940403012
common:TSS100132_-_23428929.23-CUFF.46709.1,CUFF.46709.2	-0.06114738429415738	-0.11430556141841541	-0.0877264728562864
common:TSS100132_-_23429040.23-CUFF.46709.1,CUFF.46709.2	-0.04219621340639412	0.11653694760037007	0.037170367096987976
common:TSS100132_-_23429072.23-CUFF.46709.1,CUFF.46709.2	0.38368636712842435	0.20428867985141852	0.2939875234899214
common:TSS100132_-_23429116.23-CUFF.46709.1,CUFF.46709.2	0.09664671978778637	0.23753494069823766	0.16709083024301202
common:TSS100272_+_30013660.23-ENST00000607315	-0.16686314487658133	-0.1890591254522976	-0.17796113516443945
common:TSS100272_+_30013675.23-ENST00000607315	0.07430160054873115	0.019577323555826254	0.0469394620522787
common:TSS100272_+_30013722.23-ENST00000607315	0.14090117553250064	0.17394616772176866	0.15742367162713466
common:TSS100272_+_30013743.23-ENST00000607315	0.05914504083052388	0.044188475411327005	0.05166675812092544
common:TSS100272_-_30013579.23-ENST00000607315	0.28615647879351064	0.04245886305990332	0.16430767092670698
common:TSS100272_-_30013670.23-ENST00000607315	0.04523257035283243	0.05376630727034204	0.049499438811587235
common:TSS100272_-_30013691.23-ENST00000607315	-0.02295027565443229	-0.1113043696778332	-0.06712732266613275
common:TSS100272_-_30013704.23-ENST00000607315	-0.0676273728858326	-0.17721453140360457	-0.1224209521447186
common:TSS100272_-_30013708.23-ENST00000607315	-0.12093432628338317	-0.08014962528264404	-0.1005419757830136
common:TSS100272_-_30013780.23-ENST00000607315	0.31744648826292354	-0.15582910580997153	0.080808691226476
common:TSS100533_+_41401990.23-P1P2	0.09952782064837863	-0.1132266083401118	-0.006849393845866587
common:TSS100533_+_41402004.23-P1P2	-0.021240811739090162	-0.0312138949238002	-0.02622735333144518
common:TSS100533_+_41402022.23-P1P2	-0.08408463745509263	-0.15659512120087454	-0.1203398793279836
common:TSS100533_+_41402335.23-P1P2	0.08472471555970192	0.007465553013551111	0.04609513428662651
common:TSS100533_+_41402367.23-P1P2	0.14117410876638	0.1125320141370513	0.12685306145171565
common:TSS100533_+_41402411.23-P1P2	-0.08973633174091687	0.006163762419946137	-0.04178628466048537
common:TSS100533_-_41402035.23-P1P2	-0.22283932799853548	-0.02364710162135711	-0.1232432148099463
common:TSS100533_-_41402302.23-P1P2	-0.006722118423143183	0.032560051783707626	0.012918966680282222
common:TSS100533_-_41402307.23-P1P2	-0.038090365289110646	-0.07154704743982353	-0.05481870636446709
common:TSS100533_-_41402382.23-P1P2	0.34903994269482425	-0.00976372554085952	0.16963810857698236
common:TSS100559_+_42262883.23-CUFF.47094.1	-0.04580124550200256	0.0194841108148972	-0.01315856734355268
common:TSS100559_+_42263032.23-CUFF.47094.1	-0.19612152285425205	0.009687689755720551	-0.09321691654926575
common:TSS100559_+_42263145.23-CUFF.47094.1	-0.0708821952156618	-0.035978352374120816	-0.053430273794891306
common:TSS100559_+_42263232.23-CUFF.47094.1	-0.14945121295407343	-0.014220542124628885	-0.08183587753935116
common:TSS100559_-_42262939.23-CUFF.47094.1	0.1481310294976852	-0.0896561975804487	0.02923741595861825
common:TSS100559_-_42262960.23-CUFF.47094.1	-0.22084848742223484	-0.08485136562110024	-0.15284992652166754
common:TSS100559_-_42263152.23-CUFF.47094.1	0.027877212003994314	0.13053492639585237	0.07920606919992335
common:TSS100559_-_42263165.23-CUFF.47094.1	-0.3367498761670387	0.5639903910446603	0.1136202574388108
common:TSS100559_-_42263174.23-CUFF.47094.1	0.09445830389196343	0.04369410387009414	0.06907620388102878
common:TSS100559_-_42263262.23-CUFF.47094.1	-0.06264551134882927	0.07995330700798589	0.00865389782957831
common:TSS100574_+_42882330.23-CUFF.47126.1,CUFF.47126.2	0.1011439542161923	-0.15791259254994133	-0.02838431916687452
common:TSS100574_+_42882388.23-CUFF.47126.1,CUFF.47126.2	0.19476123204365844	-0.02286806745207117	0.08594658229579363
common:TSS100574_+_42882409.23-CUFF.47126.1,CUFF.47126.2	0.123717770753994	0.27776310214901273	0.20074043645150336
common:TSS100574_+_42882515.23-CUFF.47126.1,CUFF.47126.2	0.2951417150470945	0.016043593525775224	0.15559265428643487
common:TSS100574_+_42882612.23-CUFF.47126.1,CUFF.47126.2	-0.1517021271742572	0.10886730589755954	-0.021417410638348837
common:TSS100574_+_42882617.23-CUFF.47126.1,CUFF.47126.2	-0.0900567401980963	-0.14662674318626717	-0.11834174169218173
common:TSS100574_+_42882620.23-CUFF.47126.1,CUFF.47126.2	0.2528611006899765	-0.2891257788356158	-0.018132339072819637
common:TSS100574_-_42882315.23-CUFF.47126.1,CUFF.47126.2	0.11732996145750683	-0.007262001886646182	0.05503397978543033
common:TSS100574_-_42882343.23-CUFF.47126.1,CUFF.47126.2	-0.12304253544091186	0.15219521089913474	0.01457633772911144
