	final	final	initial	initial
	Rep1	Rep2	Rep1	Rep2
	analysis/screen/output/003_merge_counts/to_process/Common_Total_R1.counts	analysis/screen/output/003_merge_counts/to_process/Common_Total_R2.counts	analysis/screen/output/003_merge_counts/to_process/Common_Initial_R1.counts	analysis/screen/output/003_merge_counts/to_process/Common_Initial_R2.counts
hek_unique:TSS30296_+_19963592.23-ENST00000547577	5820	5909	795	10737
hek_unique:TSS30296_+_19963619.23-ENST00000547577	482	448	74	421
hek_unique:TSS30296_-_19963172.23-ENST00000547577	2694	2258	262	3146
hek_unique:TSS30296_-_19963403.23-ENST00000547577	4405	4887	560	6994
hek_unique:TSS30296_-_19963484.23-ENST00000547577	5760	5831	741	8209
hek_unique:TSS30296_-_19963625.23-ENST00000547577	3777	3548	468	6534
hek_unique:TSS30296_-_19963629.23-ENST00000547577	5130	5983	546	8924
hek_unique:TSS30309_+_20732090.23-ENST00000556738	7678	7226	0	0
hek_unique:TSS30309_+_20732160.23-ENST00000556738	2669	2319	0	0
hek_unique:TSS30309_-_20732100.23-ENST00000556738	1641	2193	0	0
hek_unique:TSS30309_-_20732127.23-ENST00000556738	6190	6266	0	0
hek_unique:TSS30309_-_20732135.23-ENST00000556738	4654	4302	0	0
hek_unique:TSS30309_-_20732151.23-ENST00000556738	8055	8575	0	0
hek_unique:TSS30309_-_20732154.23-ENST00000556738	10499	10482	0	0
hek_unique:TSS30309_-_20732200.23-ENST00000556738	3072	2534	0	0
hek_unique:TSS30309_-_20732268.23-ENST00000556738	1929	2140	0	0
hek_unique:TSS30309_-_20732436.23-ENST00000556738	7865	8080	0	0
hek_unique:TSS30313_+_20811268.23-P1P2	6382	6402	0	0
hek_unique:TSS30313_+_20811292.23-P1P2	7039	6608	0	0
hek_unique:TSS30313_+_20811313.23-P1P2	7393	7331	0	0
hek_unique:TSS30313_+_20811393.23-P1P2	5595	5070	0	0
hek_unique:TSS30313_+_20811457.23-P1P2	2107	2102	0	0
hek_unique:TSS30313_+_20811468.23-P1P2	5896	5541	0	0
hek_unique:TSS30313_+_20811543.23-P1P2	4386	4178	0	0
hek_unique:TSS30313_-_20811501.23-P1P2	7915	7777	0	0
hek_unique:TSS30313_-_20811514.23-P1P2	5380	5195	0	0
hek_unique:TSS30313_-_20811540.23-P1P2	4911	4556	0	0
hek_unique:TSS3039_+_165738270.23-P1P2	1545	1775	175	2729
hek_unique:TSS3039_+_165738302.23-P1P2	7254	7377	1102	11190
hek_unique:TSS3039_-_165738163.23-P1P2	2967	2216	478	4037
hek_unique:TSS3039_-_165738175.23-P1P2	1585	1541	166	3351
hek_unique:TSS3039_-_165738192.23-P1P2	3893	4063	558	5751
hek_unique:TSS3039_-_165738279.23-P1P2	9897	10123	1612	17280
hek_unique:TSS3039_-_165738306.23-P1P2	6858	6849	996	9199
hek_unique:TSS3039_-_165738463.23-P1P2	5409	5175	845	6810
hek_unique:TSS3039_-_165738478.23-P1P2	5987	5657	902	9417
hek_unique:TSS3039_-_165738484.23-P1P2	9769	10523	1024	16829
hek_unique:TSS30421_+_24422957.23-P1P2	11061	11430	1547	20128
hek_unique:TSS30421_+_24423115.23-P1P2	5999	6657	816	11717
hek_unique:TSS30421_+_24423118.23-P1P2	13268	13704	1999	20057
hek_unique:TSS30421_+_24423188.23-P1P2	10976	11235	1734	17116
hek_unique:TSS30421_+_24423319.23-P1P2	9474	9752	1487	18395
hek_unique:TSS30421_+_24423363.23-P1P2	10329	10466	1285	16931
hek_unique:TSS30421_-_24422882.23-P1P2	7967	8523	1211	13911
hek_unique:TSS30421_-_24422964.23-P1P2	11646	11778	1589	15612
hek_unique:TSS30421_-_24423299.23-P1P2	9472	9975	1426	13465
hek_unique:TSS30421_-_24423338.23-P1P2	6369	6524	881	11816
hek_unique:TSS30431_+_24684815.23-P1P2	5900	6741	0	0
hek_unique:TSS30431_+_24685202.23-P1P2	3780	3623	0	0
hek_unique:TSS30431_+_24685226.23-P1P2	4105	4460	0	0
hek_unique:TSS30431_+_24685248.23-P1P2	3444	3042	0	0
hek_unique:TSS30431_+_24685285.23-P1P2	6265	5209	0	0
hek_unique:TSS30431_-_24685052.23-P1P2	5569	5928	0	0
hek_unique:TSS30431_-_24685072.23-P1P2	6200	6354	0	0
hek_unique:TSS30431_-_24685196.23-P1P2	2580	2464	0	0
hek_unique:TSS30431_-_24685232.23-P1P2	6713	6101	0	0
hek_unique:TSS30431_-_24685241.23-P1P2	3653	3720	0	0
hek_unique:TSS30523_+_31358514.23-P1P2	7446	8995	1189	13111
hek_unique:TSS30523_+_31358635.23-P1P2	7239	6762	1224	9954
hek_unique:TSS30523_+_31358646.23-P1P2	4726	4797	579	8418
hek_unique:TSS30523_+_31358767.23-P1P2	5990	5841	918	11687
hek_unique:TSS30523_+_31358867.23-P1P2	4702	5682	614	8496
hek_unique:TSS30523_-_31358633.23-P1P2	5216	5401	684	10395
hek_unique:TSS30523_-_31358842.23-P1P2	4766	5934	452	9957
hek_unique:TSS30523_-_31358847.23-P1P2	2618	3137	348	6003
hek_unique:TSS30523_-_31358880.23-P1P2	5294	5363	930	7471
hek_unique:TSS30523_-_31358895.23-P1P2	4986	4671	788	8295
hek_unique:TSS30546_+_32670886.23-CUFF.13928.2	8265	8284	1344	12915
hek_unique:TSS30546_+_32670901.23-CUFF.13928.2	4938	5524	646	9821
hek_unique:TSS30546_+_32670910.23-CUFF.13928.2	8095	8568	1357	15791
hek_unique:TSS30546_-_32670518.23-CUFF.13928.2	5049	5045	991	11712
hek_unique:TSS30546_-_32670673.23-CUFF.13928.2	2640	2708	359	5268
hek_unique:TSS30546_-_32670703.23-CUFF.13928.2	4768	5167	590	6620
hek_unique:TSS30546_-_32670861.23-CUFF.13928.2	2163	1695	241	2553
hek_unique:TSS30546_-_32670917.23-CUFF.13928.2	2222	2865	408	5154
hek_unique:TSS30546_-_32670945.23-CUFF.13928.2	2039	2102	343	3848
hek_unique:TSS30546_-_32670959.23-CUFF.13928.2	560	540	58	689
hek_unique:TSS3058_+_166845052.23-CUFF.3028.1	7101	7259	1240	13957
hek_unique:TSS3058_+_166845062.23-CUFF.3028.1	4744	4805	693	7041
hek_unique:TSS3058_+_166845111.23-CUFF.3028.1	3810	3572	436	5725
hek_unique:TSS3058_+_166845141.23-CUFF.3028.1	4259	4985	592	8524
hek_unique:TSS3058_+_166845174.23-CUFF.3028.1	5628	5057	743	7927
hek_unique:TSS3058_+_166845177.23-CUFF.3028.1	3223	3806	610	7450
hek_unique:TSS3058_+_166845275.23-CUFF.3028.1	4614	4441	786	6887
hek_unique:TSS3058_-_166845150.23-CUFF.3028.1	3754	2830	756	5562
hek_unique:TSS3058_-_166845170.23-CUFF.3028.1	3032	3048	458	3793
hek_unique:TSS3058_-_166845218.23-CUFF.3028.1	5156	5189	793	9938
hek_unique:TSS30592_+_35451608.23-P1P2	5496	5282	0	0
hek_unique:TSS30592_+_35451680.23-P1P2	5017	4330	0	0
hek_unique:TSS30592_+_35451710.23-P1P2	2510	2593	0	0
hek_unique:TSS30592_+_35451714.23-P1P2	1725	2165	0	0
hek_unique:TSS30592_-_35451539.23-P1P2	4801	4838	0	0
hek_unique:TSS30592_-_35451636.23-P1P2	1036	659	0	0
hek_unique:TSS30592_-_35451669.23-P1P2	5732	5401	0	0
hek_unique:TSS30592_-_35451677.23-P1P2	3707	3867	0	0
hek_unique:TSS30592_-_35451695.23-P1P2	2550	2365	0	0
hek_unique:TSS30592_-_35451763.23-P1P2	6315	5581	0	0
hek_unique:TSS30678_+_39644840.23-P1P2	3051	3120	1021	10504
hek_unique:TSS30678_+_39644852.23-P1P2	4238	4083	1204	16346
hek_unique:TSS30678_+_39644981.23-P1P2	4730	3998	525	8631
hek_unique:TSS30678_+_39644995.23-P1P2	4492	4298	663	6620
hek_unique:TSS30678_+_39645005.23-P1P2	4891	4128	743	7207
hek_unique:TSS30678_+_39645031.23-P1P2	3113	3535	634	6924
hek_unique:TSS30678_-_39644637.23-P1P2	1500	1347	660	7282
hek_unique:TSS30678_-_39644856.23-P1P2	4808	5159	676	9809
hek_unique:TSS30678_-_39645014.23-P1P2	8505	8625	1157	20002
hek_unique:TSS30678_-_39645059.23-P1P2	4045	4017	609	5835
hek_unique:TSS30684_+_39736002.23-P1P2	3583	3520	394	4249
hek_unique:TSS30684_+_39736069.23-P1P2	7081	6847	1222	12042
hek_unique:TSS30684_+_39736121.23-P1P2	3795	3531	497	4482
hek_unique:TSS30684_+_39736214.23-P1P2	7228	7237	1118	10645
hek_unique:TSS30684_+_39736239.23-P1P2	3431	3215	447	4146
hek_unique:TSS30684_+_39736274.23-P1P2	3959	4740	640	6125
hek_unique:TSS30684_-_39736076.23-P1P2	4183	3995	684	7718
hek_unique:TSS30684_-_39736225.23-P1P2	3640	3846	714	7803
hek_unique:TSS30684_-_39736230.23-P1P2	4122	3526	612	5553
hek_unique:TSS30684_-_39736278.23-P1P2	5023	4984	701	7460
hek_unique:TSS30764_+_48369535.23-CUFF.14143.16,CUFF.14143.17	3357	3619	695	7132
hek_unique:TSS30764_-_48369475.23-CUFF.14143.16,CUFF.14143.17	5444	5302	973	8542
hek_unique:TSS30764_-_48369589.23-CUFF.14143.16,CUFF.14143.17	7774	8845	1066	14839
hek_unique:TSS30764_-_48369632.23-CUFF.14143.16,CUFF.14143.17	5345	5461	526	7775
hek_unique:TSS30764_-_48369681.23-CUFF.14143.16,CUFF.14143.17	4584	5431	795	9746
hek_unique:TSS30764_-_48369691.23-CUFF.14143.16,CUFF.14143.17	6153	5915	981	8856
hek_unique:TSS30764_-_48369702.23-CUFF.14143.16,CUFF.14143.17	8079	8574	1098	15371
hek_unique:TSS30764_-_48369717.23-CUFF.14143.16,CUFF.14143.17	3226	3458	480	6967
hek_unique:TSS30764_-_48369833.23-CUFF.14143.16,CUFF.14143.17	5513	5620	838	9680
hek_unique:TSS30764_-_48369838.23-CUFF.14143.16,CUFF.14143.17	5162	5064	562	7274
hek_unique:TSS30950_+_57534779.23-ENST00000554160	4180	3561	584	6054
hek_unique:TSS30950_+_57534802.23-ENST00000554160	9757	8217	1522	15183
hek_unique:TSS30950_+_57535089.23-ENST00000554160	4559	4346	718	6186
hek_unique:TSS30950_+_57535174.23-ENST00000554160	5647	4882	639	10168
hek_unique:TSS30950_+_57535231.23-ENST00000554160	3447	3455	451	4863
hek_unique:TSS30950_+_57535252.23-ENST00000554160	7170	7535	806	14365
hek_unique:TSS30950_-_57534811.23-ENST00000554160	694	1034	83	1085
hek_unique:TSS30950_-_57534815.23-ENST00000554160	6159	6824	1033	9466
hek_unique:TSS30950_-_57534978.23-ENST00000554160	5842	6378	685	8619
hek_unique:TSS30950_-_57535121.23-ENST00000554160	2598	2498	279	4112
hek_unique:TSS30959_+_58460842.23-ENST00000563647	2873	2227	477	3942
hek_unique:TSS30959_+_58460907.23-ENST00000563647	5660	5450	793	7547
hek_unique:TSS30959_+_58461108.23-ENST00000563647	3621	3717	311	6697
hek_unique:TSS30959_+_58461146.23-ENST00000563647	7419	7902	1229	14371
hek_unique:TSS30959_-_58460994.23-ENST00000563647	3394	3279	620	6264
hek_unique:TSS30959_-_58461038.23-ENST00000563647	4328	4839	466	7310
hek_unique:TSS30959_-_58461045.23-ENST00000563647	7124	6459	1424	12324
hek_unique:TSS30959_-_58461113.23-ENST00000563647	3432	3823	445	5825
hek_unique:TSS30959_-_58461122.23-ENST00000563647	1914	1762	228	3440
hek_unique:TSS30959_-_58461162.23-ENST00000563647	4083	4595	566	7352
hek_unique:TSS309_+_9908762.23-P1P2	1702	1810	243	2569
hek_unique:TSS309_-_9908308.23-P1P2	9634	10286	1575	18890
hek_unique:TSS309_-_9908501.23-P1P2	4976	5637	796	9718
hek_unique:TSS309_-_9908541.23-P1P2	2728	2727	491	4346
hek_unique:TSS309_-_9908552.23-P1P2	3358	3759	338	6307
hek_unique:TSS309_-_9908568.23-P1P2	6116	6012	1020	9355
hek_unique:TSS309_-_9908616.23-P1P2	7854	7646	1109	11715
hek_unique:TSS309_-_9908622.23-P1P2	2715	2632	468	3584
hek_unique:TSS309_-_9908683.23-P1P2	5403	4670	691	8994
hek_unique:TSS309_-_9908800.23-P1P2	4686	4583	656	7764
hek_unique:TSS31000_+_61109128.23-CUFF.14364.3	7010	7227	833	11959
hek_unique:TSS31000_+_61109265.23-CUFF.14364.3	6169	6264	925	12239
hek_unique:TSS31000_+_61109297.23-CUFF.14364.3	2680	2268	950	8978
hek_unique:TSS31000_+_61109302.23-CUFF.14364.3	5815	6396	758	11660
hek_unique:TSS31000_+_61109327.23-CUFF.14364.3	5977	6140	825	8459
hek_unique:TSS31000_+_61109337.23-CUFF.14364.3	2736	2915	439	5897
hek_unique:TSS31000_-_61108976.23-CUFF.14364.3	8077	7003	1470	11880
hek_unique:TSS31000_-_61109174.23-CUFF.14364.3	725	699	157	1267
hek_unique:TSS31000_-_61109293.23-CUFF.14364.3	7751	7837	1492	14313
hek_unique:TSS31000_-_61109366.23-CUFF.14364.3	2658	3227	417	4782
hek_unique:TSS3100_+_169432887.23-CUFF.3067.1	4211	4815	554	7052
hek_unique:TSS3100_+_169433043.23-CUFF.3067.1	7339	7055	1146	14532
hek_unique:TSS3100_+_169433115.23-CUFF.3067.1	3867	4683	668	7786
hek_unique:TSS3100_-_169432930.23-CUFF.3067.1	5950	6099	914	11481
hek_unique:TSS3100_-_169432945.23-CUFF.3067.1	3395	3754	526	5265
hek_unique:TSS3100_-_169432965.23-CUFF.3067.1	6211	6415	991	11242
hek_unique:TSS3100_-_169432968.23-CUFF.3067.1	6372	6807	834	11519
hek_unique:TSS3100_-_169433033.23-CUFF.3067.1	3630	4695	619	7221
hek_unique:TSS3100_-_169433049.23-CUFF.3067.1	5904	5945	717	9507
hek_unique:TSS3100_-_169433076.23-CUFF.3067.1	3973	3559	539	4942
hek_unique:TSS31077_+_65453188.23-CUFF.14435.2	6287	6571	1189	11856
hek_unique:TSS31077_+_65453194.23-CUFF.14435.2	2205	2555	359	4765
hek_unique:TSS31077_+_65453396.23-CUFF.14435.2	3322	3304	441	5321
hek_unique:TSS31077_+_65453405.23-CUFF.14435.2	6248	6617	727	11348
hek_unique:TSS31077_+_65453444.23-CUFF.14435.2	6804	5989	860	9522
hek_unique:TSS31077_-_65453160.23-CUFF.14435.2	3820	4284	550	7214
hek_unique:TSS31077_-_65453220.23-CUFF.14435.2	6025	6392	1126	14010
hek_unique:TSS31077_-_65453313.23-CUFF.14435.2	3328	3060	444	4672
hek_unique:TSS31077_-_65453401.23-CUFF.14435.2	4051	4014	392	8661
hek_unique:TSS31077_-_65453434.23-CUFF.14435.2	3941	4277	500	8578
hek_unique:TSS31250_+_73525780.23-P1P2	8201	7150	1347	15539
hek_unique:TSS31250_+_73525798.23-P1P2	2771	2182	541	5697
hek_unique:TSS31250_+_73525863.23-P1P2	3057	2758	509	8182
hek_unique:TSS31250_+_73525891.23-P1P2	4101	3536	821	7062
hek_unique:TSS31250_+_73525911.23-P1P2	4132	3864	834	8318
hek_unique:TSS31250_+_73525931.23-P1P2	4181	4392	705	7227
hek_unique:TSS31250_+_73525934.23-P1P2	3983	4112	694	7908
hek_unique:TSS31250_+_73525937.23-P1P2	5836	5981	875	9619
hek_unique:TSS31250_+_73526076.23-P1P2	7992	7681	1265	14119
hek_unique:TSS31250_-_73525726.23-P1P2	6556	6614	1066	11672
hek_unique:TSS31278_+_74389147.23-ENST00000554009	6479	6070	0	0
hek_unique:TSS31278_+_74389153.23-ENST00000554009	3211	3276	0	0
hek_unique:TSS31278_+_74389167.23-ENST00000554009	5103	4555	0	0
hek_unique:TSS31278_+_74389272.23-ENST00000554009	4209	4080	0	0
hek_unique:TSS31278_+_74389333.23-ENST00000554009	2647	3579	0	0
hek_unique:TSS31278_-_74388909.23-ENST00000554009	5142	5172	0	0
hek_unique:TSS31278_-_74388959.23-ENST00000554009	7408	7533	0	0
hek_unique:TSS31278_-_74388972.23-ENST00000554009	5116	5102	0	0
hek_unique:TSS31278_-_74389056.23-ENST00000554009	4868	4618	0	0
hek_unique:TSS31278_-_74389321.23-ENST00000554009	4348	4319	0	0
hek_unique:TSS31328_+_77247664.23-P1P2	3608	3751	432	7363
hek_unique:TSS31328_+_77247878.23-P1P2	2991	3159	550	4993
hek_unique:TSS31328_+_77247963.23-P1P2	9593	9231	1461	16951
hek_unique:TSS31328_+_77248017.23-P1P2	5403	5263	687	8764
hek_unique:TSS31328_+_77248028.23-P1P2	3396	3510	544	4797
hek_unique:TSS31328_+_77248033.23-P1P2	1196	987	177	1943
hek_unique:TSS31328_-_77247644.23-P1P2	8781	8484	1455	15664
hek_unique:TSS31328_-_77247850.23-P1P2	5884	5373	730	9020
hek_unique:TSS31328_-_77247874.23-P1P2	4452	5080	529	8389
hek_unique:TSS31328_-_77247905.23-P1P2	4085	4416	663	4294
hek_unique:TSS3151_+_173465157.23-CUFF.3114.1	5555	5725	0	0
hek_unique:TSS3151_+_173465208.23-CUFF.3114.1	3776	3634	0	0
hek_unique:TSS3151_+_173465222.23-CUFF.3114.1	4677	4031	0	0
hek_unique:TSS3151_+_173465225.23-CUFF.3114.1	5440	4602	0	0
hek_unique:TSS3151_-_173465183.23-CUFF.3114.1	3765	3142	0	0
hek_unique:TSS3151_-_173465212.23-CUFF.3114.1	5826	5711	0	0
hek_unique:TSS3151_-_173465324.23-CUFF.3114.1	5925	5822	0	0
hek_unique:TSS3151_-_173465328.23-CUFF.3114.1	2522	2555	0	0
hek_unique:TSS3151_-_173465486.23-CUFF.3114.1	1688	1279	0	0
hek_unique:TSS3151_-_173465648.23-CUFF.3114.1	4087	3795	0	0
hek_unique:TSS31565_+_92525514.23-ENST00000558190	2620	3012	298	4467
hek_unique:TSS31565_+_92525590.23-ENST00000558190	4947	4778	578	7998
hek_unique:TSS31565_+_92525791.23-ENST00000558190	5910	6970	786	9103
hek_unique:TSS31565_+_92525828.23-ENST00000558190	4780	5181	557	7950
hek_unique:TSS31565_-_92525526.23-ENST00000558190	2930	3126	369	5056
hek_unique:TSS31565_-_92525716.23-ENST00000558190	5518	5401	741	9640
hek_unique:TSS31565_-_92525799.23-ENST00000558190	2224	2467	406	4810
hek_unique:TSS31565_-_92525839.23-ENST00000558190	1618	1149	171	1447
hek_unique:TSS31565_-_92525883.23-ENST00000558190	2922	2714	326	5261
hek_unique:TSS31565_-_92525887.23-ENST00000558190	4093	4721	449	8312
hek_unique:TSS3160_+_173832469.23-ENST00000602767	3335	3781	0	0
hek_unique:TSS3160_+_173832551.23-ENST00000602767	4515	4408	0	0
hek_unique:TSS3160_+_173832589.23-ENST00000602767	4579	4568	0	0
hek_unique:TSS3160_+_173832599.23-ENST00000602767	3748	3711	0	0
hek_unique:TSS3160_+_173832607.23-ENST00000602767	6597	6940	0	0
hek_unique:TSS3160_+_173832621.23-ENST00000602767	3837	4266	0	0
hek_unique:TSS3160_+_173832695.23-ENST00000602767	1564	1339	0	0
hek_unique:TSS3160_+_173832803.23-ENST00000602767	3344	4177	0	0
hek_unique:TSS3160_-_173832710.23-ENST00000602767	7147	6715	0	0
hek_unique:TSS3160_-_173832818.23-ENST00000602767	1452	1589	0	0
hek_unique:TSS31634_+_96000896.23-P1P2	3414	3463	0	0
hek_unique:TSS31634_+_96000905.23-P1P2	3895	4060	0	0
hek_unique:TSS31634_+_96000924.23-P1P2	3334	3315	0	0
hek_unique:TSS31634_+_96000936.23-P1P2	7188	7347	0	0
hek_unique:TSS31634_+_96000950.23-P1P2	1546	1289	0	0
hek_unique:TSS31634_-_96000722.23-P1P2	1672	2123	0	0
hek_unique:TSS31634_-_96000782.23-P1P2	6031	5801	0	0
hek_unique:TSS31634_-_96000864.23-P1P2	2092	2392	0	0
hek_unique:TSS31634_-_96000941.23-P1P2	4123	3896	0	0
hek_unique:TSS31634_-_96000965.23-P1P2	5816	4880	0	0
hek_unique:TSS32006_+_105962339.23-CUFF.15318.1	9491	8915	1517	14945
hek_unique:TSS32006_+_105962528.23-CUFF.15318.1	3544	3664	465	8364
hek_unique:TSS32006_+_105962535.23-CUFF.15318.1	6159	5201	1308	9617
hek_unique:TSS32006_+_105962541.23-CUFF.15318.1	5453	5335	1045	10719
hek_unique:TSS32006_+_105962590.23-CUFF.15318.1	3725	4231	500	6824
hek_unique:TSS32006_+_105962595.23-CUFF.15318.1	5270	5598	677	5886
hek_unique:TSS32006_-_105962387.23-CUFF.15318.1	7600	6869	866	9016
hek_unique:TSS32006_-_105962470.23-CUFF.15318.1	4812	5341	714	10284
hek_unique:TSS32006_-_105962576.23-CUFF.15318.1	6915	6792	1010	11067
hek_unique:TSS32006_-_105962604.23-CUFF.15318.1	5133	5292	756	6740
hek_unique:TSS32009_+_105967136.23-CUFF.15321.3	969	629	299	777
hek_unique:TSS32009_+_105967177.23-CUFF.15321.3	6884	6186	1081	10978
hek_unique:TSS32009_+_105967198.23-CUFF.15321.3	2960	2713	519	2463
hek_unique:TSS32009_+_105967225.23-CUFF.15321.3	10971	10899	1642	17742
hek_unique:TSS32009_+_105967252.23-CUFF.15321.3	8449	7215	1217	13291
hek_unique:TSS32009_+_105967272.23-CUFF.15321.3	3553	4068	441	6681
hek_unique:TSS32009_-_105967258.23-CUFF.15321.3	5342	4936	857	7736
hek_unique:TSS32009_-_105967316.23-CUFF.15321.3	5502	6489	893	9601
hek_unique:TSS32009_-_105967434.23-CUFF.15321.3	1221	968	253	2052
hek_unique:TSS32009_-_105967438.23-CUFF.15321.3	3034	3244	429	5669
hek_unique:TSS32244_+_29967041.23-P1P2	5073	4172	708	6979
hek_unique:TSS32244_+_29967177.23-P1P2	9611	9623	1116	11152
hek_unique:TSS32244_+_29967184.23-P1P2	5246	5077	686	9339
hek_unique:TSS32244_+_29967217.23-P1P2	2687	2822	461	4362
hek_unique:TSS32244_+_29967231.23-P1P2	6242	6598	829	13290
hek_unique:TSS32244_+_29967291.23-P1P2	3181	3353	585	5923
hek_unique:TSS32244_+_29967302.23-P1P2	6792	6569	737	12128
hek_unique:TSS32244_+_29967334.23-P1P2	6962	6311	976	8877
hek_unique:TSS32244_+_29967469.23-P1P2	3057	2854	367	4013
hek_unique:TSS32244_-_29967655.23-P1P2	6738	6028	897	10745
hek_unique:TSS32248_+_30261328.23-CUFF.15492.1	4053	3890	674	5757
hek_unique:TSS32248_+_30261362.23-CUFF.15492.1	4008	3911	548	6031
hek_unique:TSS32248_+_30261377.23-CUFF.15492.1	3832	3753	724	8547
hek_unique:TSS32248_+_30261416.23-CUFF.15492.1	5062	5437	826	9878
hek_unique:TSS32248_+_30261426.23-CUFF.15492.1	4015	3793	639	5704
hek_unique:TSS32248_+_30261437.23-CUFF.15492.1	4243	4721	678	7125
hek_unique:TSS32248_+_30261508.23-CUFF.15492.1	1180	1465	221	2599
hek_unique:TSS32248_+_30261545.23-CUFF.15492.1	10130	10343	1220	12679
hek_unique:TSS32248_-_30261382.23-CUFF.15492.1	4070	5027	526	9359
hek_unique:TSS32248_-_30261394.23-CUFF.15492.1	3579	3725	495	7301
hek_unique:TSS32251_+_30488302.23-ENST00000562624	5432	6368	610	11328
hek_unique:TSS32251_+_30488575.23-ENST00000562624	5544	4983	802	8290
hek_unique:TSS32251_-_30488282.23-ENST00000562624	5999	5942	933	10098
hek_unique:TSS32251_-_30488317.23-ENST00000562624	1749	2005	245	4773
hek_unique:TSS32251_-_30488322.23-ENST00000562624	5274	5159	950	10704
hek_unique:TSS32251_-_30488332.23-ENST00000562624	5084	4794	749	7478
hek_unique:TSS32251_-_30488335.23-ENST00000562624	2671	2613	616	9068
hek_unique:TSS32251_-_30488359.23-ENST00000562624	2283	2327	861	8923
hek_unique:TSS32251_-_30488503.23-ENST00000562624	3750	3469	640	7942
hek_unique:TSS32251_-_30488516.23-ENST00000562624	5923	6330	665	10844
hek_unique:TSS32257_+_30696070.23-CUFF.15501.1	10074	9066	1202	12080
hek_unique:TSS32257_+_30696076.23-CUFF.15501.1	2754	3101	326	4916
hek_unique:TSS32257_+_30696106.23-CUFF.15501.1	505	360	38	926
hek_unique:TSS32257_-_30696064.23-CUFF.15501.1	3531	3244	364	6990
hek_unique:TSS32257_-_30696075.23-CUFF.15501.1	3764	3378	671	4789
hek_unique:TSS32257_-_30696087.23-CUFF.15501.1	8596	9168	1126	14959
hek_unique:TSS32257_-_30696096.23-CUFF.15501.1	4231	4349	520	7577
hek_unique:TSS32257_-_30696102.23-CUFF.15501.1	4147	5694	499	8078
hek_unique:TSS32257_-_30696123.23-CUFF.15501.1	4114	4135	455	5889
hek_unique:TSS32257_-_30696134.23-CUFF.15501.1	3482	3299	644	5922
hek_unique:TSS32264_+_30909194.23-ENST00000602594	6156	6207	958	10709
hek_unique:TSS32264_+_30909315.23-ENST00000602594	9186	8287	1450	13009
hek_unique:TSS32264_+_30909333.23-ENST00000602594	5520	5630	820	8903
hek_unique:TSS32264_+_30909426.23-ENST00000602594	4923	5415	649	7717
hek_unique:TSS32264_+_30909467.23-ENST00000602594	4243	4072	691	4201
hek_unique:TSS32264_-_30909164.23-ENST00000602594	10078	9378	1428	12542
hek_unique:TSS32264_-_30909209.23-ENST00000602594	6002	6542	852	9379
hek_unique:TSS32264_-_30909247.23-ENST00000602594	5631	5818	862	9505
hek_unique:TSS32264_-_30909349.23-ENST00000602594	688	528	108	1033
hek_unique:TSS32264_-_30909381.23-ENST00000602594	6667	6701	821	10771
hek_unique:TSS32294_+_32807128.23-CUFF.15539.3	5675	5157	861	10678
hek_unique:TSS32294_+_32807179.23-CUFF.15539.3	5545	5474	878	8846
hek_unique:TSS32294_+_32807252.23-CUFF.15539.3	1272	1099	249	4029
hek_unique:TSS32294_+_32807271.23-CUFF.15539.3	2752	2530	434	3314
hek_unique:TSS32294_+_32807275.23-CUFF.15539.3	2896	2794	356	6859
hek_unique:TSS32294_+_32807467.23-CUFF.15539.3	3137	3749	451	6424
hek_unique:TSS32294_+_32807506.23-CUFF.15539.3	7370	7321	857	11373
hek_unique:TSS32294_-_32807063.23-CUFF.15539.3	6823	6202	1141	10987
hek_unique:TSS32294_-_32807087.23-CUFF.15539.3	8048	6596	1188	8088
hek_unique:TSS32294_-_32807094.23-CUFF.15539.3	6329	6354	1125	8841
hek_unique:TSS32430_+_40381064.23-ENST00000559022	5841	6450	0	0
hek_unique:TSS32430_+_40381067.23-ENST00000559022	4553	5122	0	0
hek_unique:TSS32430_+_40381070.23-ENST00000559022	49	49	0	0
hek_unique:TSS32430_+_40381086.23-ENST00000559022	4932	5605	0	0
hek_unique:TSS32430_+_40381108.23-ENST00000559022	2179	2334	0	0
hek_unique:TSS32430_+_40381278.23-ENST00000559022	6927	6906	0	0
hek_unique:TSS32430_+_40381281.23-ENST00000559022	3163	3045	0	0
hek_unique:TSS32430_+_40381312.23-ENST00000559022	6034	6969	0	0
hek_unique:TSS32430_+_40381351.23-ENST00000559022	4392	3935	0	0
hek_unique:TSS32430_-_40381438.23-ENST00000559022	5965	5989	0	0
hek_unique:TSS32457_+_41199044.23-P1P2	3814	4724	536	10317
hek_unique:TSS32457_+_41199059.23-P1P2	4558	4788	653	8389
hek_unique:TSS32457_+_41199091.23-P1P2	5256	6288	692	8027
hek_unique:TSS32457_+_41199174.23-P1P2	7234	6746	1144	12249
hek_unique:TSS32457_-_41199014.23-P1P2	2458	2342	432	2753
hek_unique:TSS32457_-_41199043.23-P1P2	1704	1575	244	1719
hek_unique:TSS32457_-_41199053.23-P1P2	6169	6323	1082	12452
hek_unique:TSS32457_-_41199090.23-P1P2	2561	2713	470	3516
hek_unique:TSS32457_-_41199098.23-P1P2	4835	4828	758	8543
hek_unique:TSS32457_-_41199220.23-P1P2	3680	2951	658	3399
hek_unique:TSS32477_+_41590145.23-CUFF.15748.13	11103	12007	0	0
