	final	final	initial	initial
	Rep1	Rep2	Rep1	Rep2
	analysis/screen/output/003_merge_counts/to_process/Common_Total_R1.counts	analysis/screen/output/003_merge_counts/to_process/Common_Total_R2.counts	analysis/screen/output/003_merge_counts/to_process/Common_Initial_R1.counts	analysis/screen/output/003_merge_counts/to_process/Common_Initial_R2.counts
common:TSS101496_-_95806085.23-CUFF.47887.1,CUFF.47887.2	6474	6009	891	10672
common:TSS101543_+_98742049.23-CUFF.47911.1,CUFF.47911.2,CUFF.47911.3	7369	7582	1263	13041
common:TSS101543_+_98742239.23-CUFF.47911.1,CUFF.47911.2,CUFF.47911.3	6838	6715	765	11990
common:TSS101543_+_98742282.23-CUFF.47911.1,CUFF.47911.2,CUFF.47911.3	2624	3257	369	3913
common:TSS101543_+_98742354.23-CUFF.47911.1,CUFF.47911.2,CUFF.47911.3	10437	11353	1578	16278
common:TSS101543_+_98742393.23-CUFF.47911.1,CUFF.47911.2,CUFF.47911.3	4453	4624	722	5864
common:TSS101543_+_98742442.23-CUFF.47911.1,CUFF.47911.2,CUFF.47911.3	2281	2740	218	5692
common:TSS101543_+_98742482.23-CUFF.47911.1,CUFF.47911.2,CUFF.47911.3	8442	7781	1137	12813
common:TSS101543_+_98742485.23-CUFF.47911.1,CUFF.47911.2,CUFF.47911.3	10090	10307	1004	18952
common:TSS101543_-_98742224.23-CUFF.47911.1,CUFF.47911.2,CUFF.47911.3	4589	3934	727	7016
common:TSS101543_-_98742413.23-CUFF.47911.1,CUFF.47911.2,CUFF.47911.3	5732	4989	950	7684
common:TSS101564_+_100025006.23-P1P2	4172	5007	904	11598
common:TSS101564_+_100025034.23-P1P2	4844	4135	616	7177
common:TSS101564_+_100025184.23-P1P2	4337	4359	448	9074
common:TSS101564_+_100025187.23-P1P2	3383	3229	342	6002
common:TSS101564_+_100025235.23-P1P2	4560	4435	486	7889
common:TSS101564_+_100025241.23-P1P2	3935	4687	887	7375
common:TSS101564_+_100025251.23-P1P2	3869	3506	420	5968
common:TSS101564_+_100025294.23-P1P2	2005	2355	280	3751
common:TSS101564_-_100025195.23-P1P2	4623	4447	592	6717
common:TSS101564_-_100025216.23-P1P2	7470	8537	1097	14571
common:TSS102040_+_125320330.23-ENST00000607837	5855	6126	927	9890
common:TSS102040_+_125320447.23-ENST00000607837	6565	6448	661	9003
