	gamma	gamma	gamma	gamma	gamma	gamma	gamma	gamma	gamma	gamma	gamma	gamma	gamma	gamma	gamma
	Rep1	Rep1	Rep1	Rep1	Rep1	Rep2	Rep2	Rep2	Rep2	Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2
	transcripts	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg	transcripts	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg	transcripts	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg
gene															
LH00601	CUFF.3331.3	0.020357135821556644	-0.060942350483166007	10.0	10.0	CUFF.3331.3	0.9371612798678799	0.23840260225286988	10.0	10.0	CUFF.3331.3	0.1553948961870154	-0.03365318396630725	10.0	10.0
LH00602	ENST00000609881	0.3355649953233555	-0.09398824287411278	10.0	10.0	ENST00000609881	0.25406694441595057	0.14759371541471117	10.0	10.0	ENST00000609881	0.8536512975664365	0.009953140038963642	10.0	10.0
LH00608	P1P2	0.45558972540948905	-0.17653392148706604	10.0	10.0	P1P2	0.08458505506281759	-0.3161188174081371	10.0	10.0	P1P2	0.07571605353556848	-0.2223451188057424	10.0	10.0
LH00609	P1P2	0.9286085284973046	-0.05963576177845001	10.0	10.0	P1P2	0.9180700013116734	0.05522860997720427	10.0	10.0	P1P2	0.8148659067071693	-0.012659909950577706	10.0	10.0
LH00614	CUFF.3516.4	0.7285243872170171	0.07542161803952738	10.0	10.0	CUFF.3516.4	0.534635764641717	-0.12767456988111667	10.0	10.0	CUFF.3516.4	0.4628986789384618	-0.026664632470094613	10.0	10.0
LH00615	CUFF.3516.5	0.5139055826711525	0.1041335651764847	10.0	10.0	CUFF.3516.5	0.25846994098833487	0.0652929117593079	10.0	10.0	CUFF.3516.5	0.14935524450645088	0.04891085005957546	10.0	10.0
LH00627	CUFF.3579.1	0.7730692528938388	0.21829867353650437	10.0	10.0	CUFF.3579.1	0.6228603760122893	-0.00024061019832398908	10.0	10.0	CUFF.3579.1	0.25027340210763704	0.14845574341311743	10.0	10.0
LH00629															
LH00638	P1P2	0.5315354470347603	-0.03928837705922101	10.0	10.0	P1P2	0.2846428622153634	-0.1675149149385318	10.0	10.0	P1P2	0.19977361792168047	-0.11486119321737452	10.0	10.0
LH00639	P1P2	0.044483838346083736	-0.288902154524219	10.0	10.0	P1P2	0.8387616205874862	0.04487405343265997	10.0	10.0	P1P2	0.09688327683238393	-0.09676885350030555	10.0	10.0
LH00647	P1P2	0.946574917764951	0.13287622645511493	10.0	10.0	P1P2	0.36400179555259937	0.2858384812910741	10.0	10.0	P1P2	0.3170151893277964	0.07657035602740293	10.0	10.0
LH00649	CUFF.3773.1	0.04845417794256722	0.13494893764638427	10.0	10.0	CUFF.3773.1	0.342970889152473	0.23392086991220773	10.0	10.0	CUFF.3773.1	0.04369219019881409	0.21471052722447162	10.0	10.0
LH00653	CUFF.3780.1	0.4191672626979087	0.2071132376374463	10.0	10.0	CUFF.3780.1	0.38664424203449077	0.06846681379075197	10.0	10.0	CUFF.3780.1	0.2970533979049522	0.10510470456916053	10.0	10.0
