		gamma	gamma	gamma	gamma	gamma	gamma	gamma	gamma	gamma	gamma	gamma	gamma
		Rep1	Rep1	Rep1	Rep1	Rep2	Rep2	Rep2	Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2
		Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg
gene	transcripts												
LH00053	P1P2	0.773645652395023	0.2972733374174335	10	10	0.1475018781682846	-0.09375285932618733	10	10	0.674973823570137	-0.03694561613475462	10	10
LH00057	CUFF.217.3	0.43138510263176755	0.22039225239111715	10	10	0.6552152387814103	-0.00994445647810463	10	10	0.42585902675128173	0.05067221932416471	10	10
LH00060	ENST00000602406	0.6247441970034995	0.07819089189944185	10	10	0.05944814328484537	0.08515850865020998	10	10	0.10951501982562477	0.06291926824012714	10	10
LH00061	CUFF.251.1	0.6960361472636123	0.051500314542451076	10	10	0.41307609419081526	0.08095895904269303	10	10	0.42518944391684	0.10824460023388736	10	10
LH00062	CUFF.282.14	0.6618820586672398	-0.014251162932549669	10	10	0.04426852377266254	0.2563688178320433	10	10	0.12444121196574884	0.1138792425756437	10	10
LH00063	CUFF.275.1	0.39172412921043887	-0.07885884596712815	10	10	0.4633908796812882	-0.1788678547518149	10	10	0.31408666274296915	-0.1526209571556372	10	10
LH00064	P1P2	0.6073240747897044	0.01955803261139602	10	10	0.1899263667941875	-0.24260399527168655	10	10	0.23157176909754995	-0.060637997599347356	10	10
LH00065	CUFF.339.2,CUFF.339.3,CUFF.339.4	0.8825863363214973	0.0499203537146346	10	10	0.3875987851815301	-0.1925470634396811	10	10	0.6978636433748888	0.008234338200434338	10	10
LH00068	P1P2	0.007570822211847165	0.3139513574145775	9	9	0.15504791597894466	-0.3097258992830858	10	10	0.06362191654374694	0.05918628995541273	9	9
LH00076	CUFF.336.1	0.6652255897634344	0.025022476777841824	10	10	0.3974799322815946	0.22465822745106578	10	10	0.4792359523262164	0.014772902464832463	10	10
LH00081	CUFF.359.1	0.5552564738864687	0.1788831856079912	10	10	0.07969961885123283	-0.19138213755886127	10	10	0.6379040907967192	-0.08943522159377577	10	10
LH00086	CUFF.393.2	0.9227093747882124	0.048870080296549545	10	10	0.7913347761131957	-0.0338184896850958	10	10	0.9171373334459012	-0.013067907617283422	10	10
LH00089	CUFF.696.17	0.3760031666012371	-0.08744248841495877	10	10	0.3857037462955062	0.13544984388234574	10	10	0.8344909507738503	-0.04381353693120018	10	10
LH00092	CUFF.449.1	0.18638046194554125	0.21705238669965835	8	8	0.0465650667283374	-0.41004474385565953	10	10	0.4831833392905057	-0.023554803486212122	8	8
LH00093	CUFF.454.1	0.9625711857685306	0.044851095625200156	10	10	0.5857605172611654	-0.05847310383019091	10	10	0.7920085049919806	-0.06058170020032008	10	10
LH00095	CUFF.468.1	0.387915176516781	-0.08757876937303632	10	10	0.7543228287171507	0.024604987888080364	10	10	0.6846879666685747	-0.05790831779219178	10	10
LH00097	ENST00000457809	0.47470216713223057	-0.14238151016995934	10	10	0.9552302807020565	0.02800507242685461	10	10	0.6379040907967192	-0.16820530904391273	10	10
LH00098	CUFF.475.4	0.4114347786203061	-0.03490196852382163	10	10	0.6706730297014751	0.034805241919046916	10	10	0.7955641373504554	0.0048800902306439424	10	10
LH00102	CUFF.476.7	0.8773629327002093	-0.07587594271073014	10	10	0.5535205752110866	-0.044283320812827855	10	10	0.5556132252234389	-0.08626199826017034	10	10
