	neg	neg	pos	pos
	Rep1	Rep2	Rep1	Rep2
	analysis/screen/output/003_merge_counts/to_process/Common_Negative_R1.counts	analysis/screen/output/003_merge_counts/to_process/Common_Negative_R2.counts	analysis/screen/output/003_merge_counts/to_process/Common_Positive_R1.counts	analysis/screen/output/003_merge_counts/to_process/Common_Positive_R2.counts
hek_unique:TSS106550_-_115774408.23-P1P2	0	0	0	0
hek_unique:TSS106550_-_115774413.23-P1P2	0	0	0	0
hek_unique:TSS106550_-_115774456.23-P1P2	0	0	0	0
hek_unique:TSS106550_-_115774461.23-P1P2	0	0	0	0
hek_unique:TSS106550_-_115774469.23-P1P2	0	0	0	0
hek_unique:TSS106584_+_117373449.23-CUFF.50510.9,CUFF.50510.10	3648	3312	3054	2535
hek_unique:TSS106584_+_117373493.23-CUFF.50510.9,CUFF.50510.10	3580	3671	2488	2815
hek_unique:TSS106584_+_117373499.23-CUFF.50510.9,CUFF.50510.10	2990	2981	2210	2041
hek_unique:TSS106584_+_117373509.23-CUFF.50510.9,CUFF.50510.10	2867	2840	2141	2474
hek_unique:TSS106584_+_117373527.23-CUFF.50510.9,CUFF.50510.10	1320	1499	1462	1789
hek_unique:TSS106584_-_117373420.23-CUFF.50510.9,CUFF.50510.10	2282	2368	1880	2134
hek_unique:TSS106584_-_117373478.23-CUFF.50510.9,CUFF.50510.10	1979	1923	1580	1611
hek_unique:TSS106584_-_117373489.23-CUFF.50510.9,CUFF.50510.10	2712	2813	1798	1845
hek_unique:TSS106584_-_117373547.23-CUFF.50510.9,CUFF.50510.10	1835	1829	1336	1574
hek_unique:TSS106584_-_117373559.23-CUFF.50510.9,CUFF.50510.10	904	1263	748	929
hek_unique:TSS106715_+_126771453.23-P1P2	2569	2837	894	809
hek_unique:TSS106715_+_126771478.23-P1P2	1847	1589	1537	1413
hek_unique:TSS106715_+_126771612.23-P1P2	1990	1955	1560	1263
hek_unique:TSS106715_+_126771638.23-P1P2	581	574	454	346
hek_unique:TSS106715_+_126771664.23-P1P2	4151	4098	3327	3491
hek_unique:TSS106715_-_126771409.23-P1P2	2092	2162	1831	1753
hek_unique:TSS106715_-_126771607.23-P1P2	1962	2105	1333	1579
hek_unique:TSS106715_-_126771629.23-P1P2	2799	2787	2247	2464
hek_unique:TSS106715_-_126771645.23-P1P2	4754	5261	3423	3623
hek_unique:TSS106715_-_126771654.23-P1P2	2251	2080	1759	1669
hek_unique:TSS106739_+_127600019.23-CUFF.50685.1	5543	5590	2767	3647
hek_unique:TSS106739_+_127600022.23-CUFF.50685.1	4688	4460	4040	3753
hek_unique:TSS106739_+_127600273.23-CUFF.50685.1	2013	2159	1606	1707
hek_unique:TSS106739_+_127600432.23-CUFF.50685.1	5269	4898	3777	4305
hek_unique:TSS106739_-_127600246.23-CUFF.50685.1	1992	1994	1398	1549
hek_unique:TSS106739_-_127600318.23-CUFF.50685.1	1935	1708	1114	1376
hek_unique:TSS106739_-_127600327.23-CUFF.50685.1	2904	3164	2243	2279
hek_unique:TSS106739_-_127600428.23-CUFF.50685.1	2852	3185	2333	3111
hek_unique:TSS106739_-_127600439.23-CUFF.50685.1	3446	2980	2733	2175
hek_unique:TSS106739_-_127600452.23-CUFF.50685.1	1030	1169	839	829
hek_unique:TSS106772_+_129374592.23-P1P2	2452	2748	1815	1913
hek_unique:TSS106772_+_129374763.23-P1P2	3223	3620	2197	2553
hek_unique:TSS106772_+_129374809.23-P1P2	2827	2910	2307	2536
hek_unique:TSS106772_+_129374843.23-P1P2	4040	3815	2520	2390
hek_unique:TSS106772_-_129374471.23-P1P2	2362	2384	1647	1953
hek_unique:TSS106772_-_129374610.23-P1P2	3453	3554	2971	2677
hek_unique:TSS106772_-_129374667.23-P1P2	4200	3917	3171	2738
hek_unique:TSS106772_-_129374685.23-P1P2	3573	3907	2610	2690
hek_unique:TSS106772_-_129374743.23-P1P2	5633	5406	4203	4527
hek_unique:TSS106772_-_129374751.23-P1P2	2017	1798	5922	5212
hek_unique:TSS106806_-_130880523.23-P1P2	0	0	0	0
hek_unique:TSS106806_-_130880559.23-P1P2	0	0	0	0
hek_unique:TSS106806_-_130880770.23-P1P2	0	0	0	0
hek_unique:TSS106806_-_130880775.23-P1P2	0	0	0	0
hek_unique:TSS106806_-_130880889.23-P1P2	0	0	0	0
hek_unique:TSS106806_-_130880905.23-P1P2	0	0	0	0
hek_unique:TSS106806_-_130880947.23-P1P2	0	0	0	0
hek_unique:TSS106806_-_130880970.23-P1P2	0	0	0	0
hek_unique:TSS106806_-_130880979.23-P1P2	0	0	0	0
hek_unique:TSS106806_-_130880994.23-P1P2	0	0	0	0
hek_unique:TSS106824_+_131314634.23-P1P2	2536	2774	1819	2724
hek_unique:TSS106824_+_131314645.23-P1P2	3675	3718	3524	3437
hek_unique:TSS106824_+_131314651.23-P1P2	2734	2429	1999	1759
hek_unique:TSS106824_+_131314654.23-P1P2	4754	4652	3241	3507
hek_unique:TSS106824_+_131314673.23-P1P2	4701	4691	3230	3732
hek_unique:TSS106824_+_131314677.23-P1P2	5068	4937	3506	3905
hek_unique:TSS106824_+_131314691.23-P1P2	3821	3483	2523	3412
hek_unique:TSS106824_-_131314458.23-P1P2	2197	2217	1771	1738
hek_unique:TSS106824_-_131314629.23-P1P2	5006	5145	3827	3953
hek_unique:TSS106824_-_131314681.23-P1P2	3583	2935	2717	1689
hek_unique:TSS106825_+_131305537.23-ENST00000426704	0	0	0	0
hek_unique:TSS106825_+_131305553.23-ENST00000426704	0	0	0	0
hek_unique:TSS106825_+_131305566.23-ENST00000426704	0	0	0	0
hek_unique:TSS106825_+_131305580.23-ENST00000426704	0	0	0	0
hek_unique:TSS106825_+_131305619.23-ENST00000426704	0	0	0	0
hek_unique:TSS106825_+_131305646.23-ENST00000426704	0	0	0	0
hek_unique:TSS106825_-_131305610.23-ENST00000426704	0	0	0	0
hek_unique:TSS106825_-_131305613.23-ENST00000426704	0	0	0	0
hek_unique:TSS106825_-_131305626.23-ENST00000426704	0	0	0	0
hek_unique:TSS106825_-_131305631.23-ENST00000426704	0	0	0	0
hek_unique:TSS106916_+_134042447.23-P1P2	2721	2776	2387	1653
hek_unique:TSS106916_+_134042455.23-P1P2	2744	2595	2151	1824
hek_unique:TSS106916_+_134042606.23-P1P2	3361	3307	2575	2463
hek_unique:TSS106916_+_134042620.23-P1P2	2079	2205	1838	1596
hek_unique:TSS106916_+_134042630.23-P1P2	3874	3740	3471	2705
hek_unique:TSS106916_+_134042773.23-P1P2	3933	4089	3223	3126
hek_unique:TSS106916_+_134042832.23-P1P2	3486	3159	2652	2703
hek_unique:TSS106916_-_134042358.23-P1P2	2741	2506	1901	2449
hek_unique:TSS106916_-_134042600.23-P1P2	44	9	82	14
hek_unique:TSS106916_-_134042674.23-P1P2	2321	2463	1363	2192
hek_unique:TSS106940_+_135417270.23-CUFF.50901.3	4222	3878	2938	2811
hek_unique:TSS106940_+_135417306.23-CUFF.50901.3	2466	2354	2035	1828
hek_unique:TSS106940_+_135417348.23-CUFF.50901.3	3874	3762	2738	3498
hek_unique:TSS106940_+_135417357.23-CUFF.50901.3	3669	3467	2613	2775
hek_unique:TSS106940_+_135417446.23-CUFF.50901.3	2260	2346	1986	1543
hek_unique:TSS106940_-_135417202.23-CUFF.50901.3	2187	2110	1658	2048
hek_unique:TSS106940_-_135417227.23-CUFF.50901.3	2379	2634	2114	2146
hek_unique:TSS106940_-_135417364.23-CUFF.50901.3	8202	8078	5814	4688
hek_unique:TSS106940_-_135417393.23-CUFF.50901.3	4381	3608	2972	2868
hek_unique:TSS106940_-_135417405.23-CUFF.50901.3	3469	3296	2704	2315
hek_unique:TSS107040_+_138363881.23-P1P2	0	0	0	0
hek_unique:TSS107040_+_138364024.23-P1P2	0	0	0	0
hek_unique:TSS107040_+_138364034.23-P1P2	0	0	0	0
hek_unique:TSS107040_+_138364058.23-P1P2	0	0	0	0
hek_unique:TSS107040_+_138364073.23-P1P2	0	0	0	0
hek_unique:TSS107040_-_138364000.23-P1P2	0	0	0	0
hek_unique:TSS107040_-_138364066.23-P1P2	0	0	0	0
hek_unique:TSS107040_-_138364085.23-P1P2	0	0	0	0
hek_unique:TSS107040_-_138364099.23-P1P2	0	0	0	0
hek_unique:TSS107040_-_138364116.23-P1P2	0	0	0	0
hek_unique:TSS107082_+_139000748.23-P1P2	5632	5773	5308	4855
hek_unique:TSS107082_+_139000787.23-P1P2	3199	3301	2907	2678
hek_unique:TSS107082_+_139000801.23-P1P2	2870	2963	2233	2181
hek_unique:TSS107082_+_139000805.23-P1P2	2909	3102	2194	2880
hek_unique:TSS107082_+_139000814.23-P1P2	3127	3275	2969	1970
hek_unique:TSS107082_+_139000829.23-P1P2	2496	2214	1855	2080
hek_unique:TSS107082_+_139000835.23-P1P2	4444	4605	2987	2661
hek_unique:TSS107082_-_139000429.23-P1P2	2540	2623	2505	2119
hek_unique:TSS107082_-_139000503.23-P1P2	3866	3756	2769	2596
hek_unique:TSS107082_-_139000664.23-P1P2	2976	3188	2663	2309
hek_unique:TSS1070_+_40115516.23-CUFF.1087.1	3096	2929	2089	2501
hek_unique:TSS1070_+_40115677.23-CUFF.1087.1	2366	2591	2215	2288
hek_unique:TSS1070_-_40115429.23-CUFF.1087.1	3228	2969	2293	2179
hek_unique:TSS1070_-_40115441.23-CUFF.1087.1	4305	4635	3386	3759
hek_unique:TSS1070_-_40115444.23-CUFF.1087.1	3997	4301	2657	3653
hek_unique:TSS1070_-_40115480.23-CUFF.1087.1	1960	2044	1337	1502
hek_unique:TSS1070_-_40115617.23-CUFF.1087.1	4932	5285	2443	2281
hek_unique:TSS1070_-_40115640.23-CUFF.1087.1	2862	3049	2908	2247
hek_unique:TSS1070_-_40115645.23-CUFF.1087.1	2905	3188	1820	2565
hek_unique:TSS1070_-_40115830.23-CUFF.1087.1	2102	2522	2008	1967
hek_unique:TSS107125_+_139614952.23-CUFF.51084.3	1873	1908	880	1743
hek_unique:TSS107125_+_139615263.23-CUFF.51084.3	3380	3157	1993	1982
hek_unique:TSS107125_+_139615396.23-CUFF.51084.3	2710	2831	2204	1988
hek_unique:TSS107125_+_139615426.23-CUFF.51084.3	1313	1538	832	1137
hek_unique:TSS107125_-_139615018.23-CUFF.51084.3	2796	2602	2039	2469
hek_unique:TSS107125_-_139615141.23-CUFF.51084.3	3037	3026	2339	2153
hek_unique:TSS107125_-_139615204.23-CUFF.51084.3	3318	3319	2151	2427
hek_unique:TSS107125_-_139615337.23-CUFF.51084.3	3417	2976	2330	2198
hek_unique:TSS107125_-_139615408.23-CUFF.51084.3	3684	3248	2890	2730
hek_unique:TSS107125_-_139615439.23-CUFF.51084.3	2481	2225	1749	1963
hek_unique:TSS107133_+_139701811.23-CUFF.51093.3,CUFF.51093.4	308	264	317	316
hek_unique:TSS107133_-_139701407.23-CUFF.51093.3,CUFF.51093.4	5344	5105	3410	4086
hek_unique:TSS107133_-_139701518.23-CUFF.51093.3,CUFF.51093.4	3440	3498	2216	2911
hek_unique:TSS107133_-_139701623.23-CUFF.51093.3,CUFF.51093.4	1233	1239	1413	1137
hek_unique:TSS107133_-_139701764.23-CUFF.51093.3,CUFF.51093.4	2706	2127	1853	1607
hek_unique:TSS107133_-_139701769.23-CUFF.51093.3,CUFF.51093.4	3587	4020	1445	1553
hek_unique:TSS107133_-_139701804.23-CUFF.51093.3,CUFF.51093.4	3250	3084	2264	2495
hek_unique:TSS107133_-_139701828.23-CUFF.51093.3,CUFF.51093.4	2346	2353	1886	1869
hek_unique:TSS107133_-_139701848.23-CUFF.51093.3,CUFF.51093.4	4278	3696	2789	3053
hek_unique:TSS107133_-_139701853.23-CUFF.51093.3,CUFF.51093.4	4100	4186	2873	2890
hek_unique:TSS107134_+_139702877.23-P1P2	2282	2257	1602	1714
hek_unique:TSS107134_+_139702975.23-P1P2	2826	2817	2156	2090
hek_unique:TSS107134_+_139703138.23-P1P2	1675	1219	1090	1079
hek_unique:TSS107134_+_139703156.23-P1P2	5414	4870	4278	3322
hek_unique:TSS107134_+_139703161.23-P1P2	4998	4594	3348	3629
hek_unique:TSS107134_+_139703276.23-P1P2	4722	4189	3346	3214
hek_unique:TSS107134_-_139703205.23-P1P2	3246	3236	2243	2805
hek_unique:TSS107134_-_139703223.23-P1P2	2284	2061	1801	1849
hek_unique:TSS107134_-_139703368.23-P1P2	3770	3736	3030	2969
hek_unique:TSS107134_-_139703389.23-P1P2	970	977	878	591
hek_unique:TSS107188_+_141072635.23-CUFF.51125.1	1824	1595	1987	1307
hek_unique:TSS107188_+_141072687.23-CUFF.51125.1	1908	1957	1549	1394
hek_unique:TSS107188_+_141072748.23-CUFF.51125.1	2988	2952	2166	2347
hek_unique:TSS107188_+_141072820.23-CUFF.51125.1	2556	2606	1566	1903
hek_unique:TSS107188_+_141072858.23-CUFF.51125.1	2830	2715	2005	2118
hek_unique:TSS107188_+_141072877.23-CUFF.51125.1	1838	2088	1291	1846
hek_unique:TSS107188_-_141072543.23-CUFF.51125.1	2911	3181	2166	2608
hek_unique:TSS107188_-_141072647.23-CUFF.51125.1	2111	2041	1489	1353
hek_unique:TSS107188_-_141072833.23-CUFF.51125.1	2291	2342	1520	1799
hek_unique:TSS107188_-_141072851.23-CUFF.51125.1	1797	1706	1492	1387
hek_unique:TSS10777_+_58121227.23-CUFF.5704.1,TUCPT_00000251	0	0	0	0
hek_unique:TSS10777_+_58121239.23-CUFF.5704.1,TUCPT_00000251	0	0	0	0
hek_unique:TSS10777_+_58121268.23-CUFF.5704.1,TUCPT_00000251	0	0	0	0
hek_unique:TSS10777_+_58121275.23-CUFF.5704.1,TUCPT_00000251	0	0	0	0
hek_unique:TSS10777_+_58121317.23-CUFF.5704.1,TUCPT_00000251	0	0	0	0
hek_unique:TSS10777_-_58121236.23-CUFF.5704.1,TUCPT_00000251	0	0	0	0
hek_unique:TSS10777_-_58121256.23-CUFF.5704.1,TUCPT_00000251	0	0	0	0
hek_unique:TSS10777_-_58121281.23-CUFF.5704.1,TUCPT_00000251	0	0	0	0
hek_unique:TSS10777_-_58121307.23-CUFF.5704.1,TUCPT_00000251	0	0	0	0
hek_unique:TSS10777_-_58121473.23-CUFF.5704.1,TUCPT_00000251	0	0	0	0
hek_unique:TSS108196_+_281422.23-CUFF.51166.1	0	0	0	0
hek_unique:TSS108196_+_281475.23-CUFF.51166.1	0	0	0	0
hek_unique:TSS108196_+_281521.23-CUFF.51166.1	0	0	0	0
hek_unique:TSS108196_+_281669.23-CUFF.51166.1	0	0	0	0
hek_unique:TSS108196_+_281816.23-CUFF.51166.1	0	0	0	0
hek_unique:TSS108196_-_281484.23-CUFF.51166.1	0	0	0	0
hek_unique:TSS108196_-_281489.23-CUFF.51166.1	0	0	0	0
hek_unique:TSS108196_-_281492.23-CUFF.51166.1	0	0	0	0
hek_unique:TSS108196_-_281732.23-CUFF.51166.1	0	0	0	0
hek_unique:TSS108196_-_281834.23-CUFF.51166.1	0	0	0	0
hek_unique:TSS108218_+_1535448.23-TUCPT_00002437	0	0	0	0
hek_unique:TSS108218_+_1535546.23-TUCPT_00002437	0	0	0	0
hek_unique:TSS108218_+_1535786.23-TUCPT_00002437	0	0	0	0
hek_unique:TSS108218_-_1535368.23-TUCPT_00002437	0	0	0	0
hek_unique:TSS108218_-_1535389.23-TUCPT_00002437	0	0	0	0
hek_unique:TSS108218_-_1535423.23-TUCPT_00002437	0	0	0	0
hek_unique:TSS108218_-_1535434.23-TUCPT_00002437	0	0	0	0
hek_unique:TSS108218_-_1535457.23-TUCPT_00002437	0	0	0	0
hek_unique:TSS108218_-_1535725.23-TUCPT_00002437	0	0	0	0
hek_unique:TSS108218_-_1535812.23-TUCPT_00002437	0	0	0	0
hek_unique:TSS108255_+_3727786.23-CUFF.51255.5	539	457	182	594
hek_unique:TSS108255_+_3728174.23-CUFF.51255.5	1826	2085	1147	1463
hek_unique:TSS108255_+_3728178.23-CUFF.51255.5	452	361	249	269
hek_unique:TSS108255_+_3728198.23-CUFF.51255.5	3388	3298	3330	1922
hek_unique:TSS108255_+_3728216.23-CUFF.51255.5	2632	2841	1464	2554
hek_unique:TSS108255_-_3727797.23-CUFF.51255.5	4068	4236	3308	3050
hek_unique:TSS108255_-_3727802.23-CUFF.51255.5	2708	2800	1824	1800
hek_unique:TSS108255_-_3727850.23-CUFF.51255.5	3570	3692	2433	2691
hek_unique:TSS108255_-_3728085.23-CUFF.51255.5	2182	2307	1989	1387
hek_unique:TSS108255_-_3728192.23-CUFF.51255.5	1744	1727	1421	1552
hek_unique:TSS108256_+_3729807.23-CUFF.51255.6	2673	2628	1633	1456
hek_unique:TSS108256_+_3729838.23-CUFF.51255.6	1457	1397	1060	1306
hek_unique:TSS108256_+_3730176.23-CUFF.51255.6	2101	2086	1858	1454
hek_unique:TSS108256_+_3730192.23-CUFF.51255.6	3856	3718	2319	3430
hek_unique:TSS108256_+_3730220.23-CUFF.51255.6	2987	3289	2203	2746
hek_unique:TSS108256_-_3729771.23-CUFF.51255.6	2352	2005	1872	1753
hek_unique:TSS108256_-_3730189.23-CUFF.51255.6	1681	1766	1583	1340
hek_unique:TSS108256_-_3730196.23-CUFF.51255.6	1768	1890	1593	1599
hek_unique:TSS108256_-_3730211.23-CUFF.51255.6	4839	4752	3342	3606
hek_unique:TSS108256_-_3730250.23-CUFF.51255.6	2030	1759	1419	1590
hek_unique:TSS108257_+_3733124.23-CUFF.51255.9,CUFF.51255.10	0	0	0	0
hek_unique:TSS108257_+_3733128.23-CUFF.51255.9,CUFF.51255.10	0	0	0	0
hek_unique:TSS108257_+_3733134.23-CUFF.51255.9,CUFF.51255.10	0	0	0	0
hek_unique:TSS108257_+_3733641.23-CUFF.51255.9,CUFF.51255.10	0	0	0	0
hek_unique:TSS108257_-_3733164.23-CUFF.51255.9,CUFF.51255.10	0	0	0	0
hek_unique:TSS108257_-_3733172.23-CUFF.51255.9,CUFF.51255.10	0	0	0	0
hek_unique:TSS108257_-_3733175.23-CUFF.51255.9,CUFF.51255.10	0	0	0	0
hek_unique:TSS108257_-_3733187.23-CUFF.51255.9,CUFF.51255.10	0	0	0	0
hek_unique:TSS108257_-_3733217.23-CUFF.51255.9,CUFF.51255.10	0	0	0	0
hek_unique:TSS108257_-_3733283.23-CUFF.51255.9,CUFF.51255.10	0	0	0	0
hek_unique:TSS108258_+_3735584.23-CUFF.51255.13,CUFF.51255.12	0	0	0	0
hek_unique:TSS108258_+_3735642.23-CUFF.51255.13,CUFF.51255.12	0	0	0	0
hek_unique:TSS108258_+_3735950.23-CUFF.51255.13,CUFF.51255.12	0	0	0	0
hek_unique:TSS108258_+_3735977.23-CUFF.51255.13,CUFF.51255.12	0	0	0	0
hek_unique:TSS108258_+_3736040.23-CUFF.51255.13,CUFF.51255.12	0	0	0	0
hek_unique:TSS108258_+_3736055.23-CUFF.51255.13,CUFF.51255.12	0	0	0	0
hek_unique:TSS108258_-_3735782.23-CUFF.51255.13,CUFF.51255.12	0	0	0	0
hek_unique:TSS108258_-_3735960.23-CUFF.51255.13,CUFF.51255.12	0	0	0	0
hek_unique:TSS108258_-_3735967.23-CUFF.51255.13,CUFF.51255.12	0	0	0	0
hek_unique:TSS108258_-_3736082.23-CUFF.51255.13,CUFF.51255.12	0	0	0	0
hek_unique:TSS108259_+_3776841.23-CUFF.51257.3	3208	3403	2412	2746
hek_unique:TSS108259_+_3776936.23-CUFF.51257.3	3983	3382	2669	2716
hek_unique:TSS108259_-_3776834.23-CUFF.51257.3	2652	3169	2311	2384
hek_unique:TSS108259_-_3776851.23-CUFF.51257.3	3770	3328	2994	2547
hek_unique:TSS108259_-_3776873.23-CUFF.51257.3	2479	2520	1901	1930
hek_unique:TSS108259_-_3776896.23-CUFF.51257.3	928	732	636	935
hek_unique:TSS108259_-_3776904.23-CUFF.51257.3	2395	2391	2299	1602
hek_unique:TSS108259_-_3777047.23-CUFF.51257.3	4312	4453	3340	3252
hek_unique:TSS108259_-_3777054.23-CUFF.51257.3	3301	3470	2673	2625
hek_unique:TSS108259_-_3777125.23-CUFF.51257.3	2810	2659	1929	2172
hek_unique:TSS108265_+_3807255.23-CUFF.51258.1,CUFF.51258.2	0	0	0	0
hek_unique:TSS108265_+_3807426.23-CUFF.51258.1,CUFF.51258.2	0	0	0	0
hek_unique:TSS108265_-_3807301.23-CUFF.51258.1,CUFF.51258.2	0	0	0	0
hek_unique:TSS108265_-_3807305.23-CUFF.51258.1,CUFF.51258.2	0	0	0	0
hek_unique:TSS108265_-_3807312.23-CUFF.51258.1,CUFF.51258.2	0	0	0	0
hek_unique:TSS108265_-_3807326.23-CUFF.51258.1,CUFF.51258.2	0	0	0	0
hek_unique:TSS108265_-_3807335.23-CUFF.51258.1,CUFF.51258.2	0	0	0	0
hek_unique:TSS108265_-_3807401.23-CUFF.51258.1,CUFF.51258.2	0	0	0	0
hek_unique:TSS108265_-_3807620.23-CUFF.51258.1,CUFF.51258.2	0	0	0	0
hek_unique:TSS108265_-_3807656.23-CUFF.51258.1,CUFF.51258.2	0	0	0	0
hek_unique:TSS108451_+_19382307.23-CUFF.51384.1	3662	3682	3004	2673
hek_unique:TSS108451_+_19382332.23-CUFF.51384.1	5029	4610	4095	3065
hek_unique:TSS108451_+_19382344.23-CUFF.51384.1	3124	2988	2329	2562
hek_unique:TSS108451_+_19382354.23-CUFF.51384.1	5053	5387	3710	4297
hek_unique:TSS108451_+_19382585.23-CUFF.51384.1	3935	3751	2914	2310
hek_unique:TSS108451_-_19382321.23-CUFF.51384.1	5396	5648	4520	3444
hek_unique:TSS108451_-_19382339.23-CUFF.51384.1	1418	1381	1015	1066
hek_unique:TSS108451_-_19382371.23-CUFF.51384.1	629	548	566	316
hek_unique:TSS108451_-_19382380.23-CUFF.51384.1	2223	2016	1544	1591
hek_unique:TSS108451_-_19382396.23-CUFF.51384.1	3129	2822	2201	2223
hek_unique:TSS1084_+_40363406.23-ENST00000418255	4084	3929	3084	2888
hek_unique:TSS1084_+_40363549.23-ENST00000418255	3378	3248	2265	2913
hek_unique:TSS1084_+_40363567.23-ENST00000418255	4043	3763	3346	3386
hek_unique:TSS1084_+_40363700.23-ENST00000418255	1783	1637	1514	1684
hek_unique:TSS1084_-_40363440.23-ENST00000418255	736	799	491	508
hek_unique:TSS1084_-_40363521.23-ENST00000418255	3072	2799	2726	1936
hek_unique:TSS1084_-_40363556.23-ENST00000418255	5996	5326	4071	3775
hek_unique:TSS1084_-_40363575.23-ENST00000418255	2845	2755	1978	2115
hek_unique:TSS1084_-_40363582.23-ENST00000418255	1519	1401	633	759
hek_unique:TSS1084_-_40363738.23-ENST00000418255	3128	2827	2234	2301
hek_unique:TSS108670_+_41379277.23-ENST00000451126	0	0	0	0
hek_unique:TSS108670_+_41379280.23-ENST00000451126	0	0	0	0
hek_unique:TSS108670_+_41379514.23-ENST00000451126	0	0	0	0
hek_unique:TSS108670_+_41379517.23-ENST00000451126	0	0	0	0
hek_unique:TSS108670_-_41379292.23-ENST00000451126	0	0	0	0
hek_unique:TSS108670_-_41379365.23-ENST00000451126	0	0	0	0
hek_unique:TSS108670_-_41379570.23-ENST00000451126	0	0	0	0
hek_unique:TSS108670_-_41379582.23-ENST00000451126	0	0	0	0
hek_unique:TSS108670_-_41379693.23-ENST00000451126	0	0	0	0
hek_unique:TSS108670_-_41379705.23-ENST00000451126	0	0	0	0
hek_unique:TSS108792_+_47489361.23-CUFF.51713.2	1751	1515	1178	1551
hek_unique:TSS108792_+_47489761.23-CUFF.51713.2	2455	2525	1930	2014
hek_unique:TSS108792_-_47489296.23-CUFF.51713.2	2265	2309	1622	1797
hek_unique:TSS108792_-_47489304.23-CUFF.51713.2	1917	2125	1884	1543
hek_unique:TSS108792_-_47489311.23-CUFF.51713.2	1939	2360	1747	1321
hek_unique:TSS108792_-_47489339.23-CUFF.51713.2	2905	2826	3026	2472
hek_unique:TSS108792_-_47489353.23-CUFF.51713.2	2720	2855	2281	1988
hek_unique:TSS108792_-_47489547.23-CUFF.51713.2	3080	3613	2718	2340
hek_unique:TSS108792_-_47489698.23-CUFF.51713.2	3869	3640	2566	2673
hek_unique:TSS108792_-_47489725.23-CUFF.51713.2	1849	1896	1596	1417
hek_unique:TSS108831_+_49155626.23-CUFF.51771.1	0	0	0	0
hek_unique:TSS108831_+_49155650.23-CUFF.51771.1	0	0	0	0
hek_unique:TSS108831_+_49155741.23-CUFF.51771.1	0	0	0	0
hek_unique:TSS108831_+_49155839.23-CUFF.51771.1	0	0	0	0
hek_unique:TSS108831_+_49155845.23-CUFF.51771.1	0	0	0	0
hek_unique:TSS108831_+_49155849.23-CUFF.51771.1	0	0	0	0
hek_unique:TSS108831_+_49155889.23-CUFF.51771.1	0	0	0	0
hek_unique:TSS108831_+_49155893.23-CUFF.51771.1	0	0	0	0
hek_unique:TSS108831_+_49155925.23-CUFF.51771.1	0	0	0	0
hek_unique:TSS108831_+_49156027.23-CUFF.51771.1	0	0	0	0
hek_unique:TSS108840_+_51139083.23-P1P2	2415	2593	1653	2243
hek_unique:TSS108840_+_51139202.23-P1P2	4009	4302	3209	3270
hek_unique:TSS108840_+_51139274.23-P1P2	2647	2726	2703	2766
hek_unique:TSS108840_-_51138966.23-P1P2	2872	2789	2074	2055
hek_unique:TSS108840_-_51138972.23-P1P2	3743	3408	2312	2538
hek_unique:TSS108840_-_51138982.23-P1P2	3172	3794	2393	2822
hek_unique:TSS108840_-_51138992.23-P1P2	2411	2158	1448	1777
hek_unique:TSS108840_-_51139148.23-P1P2	3074	3183	2066	2750
hek_unique:TSS108840_-_51139158.23-P1P2	1789	2164	1240	1739
hek_unique:TSS108840_-_51139376.23-P1P2	3889	3560	3283	2985
hek_unique:TSS108841_+_51139083.23-P1P2	2415	2593	1653	2243
hek_unique:TSS108841_+_51139202.23-P1P2	4009	4302	3209	3270
hek_unique:TSS108841_+_51139274.23-P1P2	2647	2726	2703	2766
hek_unique:TSS108841_-_51138966.23-P1P2	2872	2789	2074	2055
hek_unique:TSS108841_-_51138972.23-P1P2	3743	3408	2312	2538
hek_unique:TSS108841_-_51138982.23-P1P2	3172	3794	2393	2822
hek_unique:TSS108841_-_51138992.23-P1P2	2411	2158	1448	1777
hek_unique:TSS108841_-_51139148.23-P1P2	3074	3183	2066	2750
hek_unique:TSS108841_-_51139158.23-P1P2	1789	2164	1240	1739
hek_unique:TSS108841_-_51139376.23-P1P2	3889	3560	3283	2985
hek_unique:TSS108851_+_53123337.23-P1P2	3347	3052	1944	2278
hek_unique:TSS108851_+_53123361.23-P1P2	4183	4152	3155	3348
hek_unique:TSS108851_+_53123375.23-P1P2	3540	3416	2978	2542
hek_unique:TSS108851_+_53123379.23-P1P2	1161	1284	894	925
hek_unique:TSS108851_+_53123388.23-P1P2	3115	3032	2364	2738
hek_unique:TSS108851_+_53123567.23-P1P2	3370	3035	2254	2798
hek_unique:TSS108851_+_53123575.23-P1P2	2600	2539	2115	1607
hek_unique:TSS108851_-_53123330.23-P1P2	2257	2490	1975	1744
hek_unique:TSS108851_-_53123336.23-P1P2	3540	3208	2354	2153
hek_unique:TSS108851_-_53123372.23-P1P2	4398	4029	3282	4028
hek_unique:TSS108929_+_63481769.23-CUFF.51936.1	2368	2248	1583	1636
hek_unique:TSS108929_+_63481837.23-CUFF.51936.1	2500	2483	1911	2204
hek_unique:TSS108929_+_63481906.23-CUFF.51936.1	1796	1688	1299	1290
hek_unique:TSS108929_+_63482107.23-CUFF.51936.1	1333	1230	948	1183
hek_unique:TSS108929_-_63481697.23-CUFF.51936.1	2324	2456	1879	2117
hek_unique:TSS108929_-_63481723.23-CUFF.51936.1	3165	3093	2488	2615
hek_unique:TSS108929_-_63481767.23-CUFF.51936.1	1687	1649	1292	1367
