	neg	neg	pos	pos
	Rep1	Rep2	Rep1	Rep2
	analysis/screen/output/003_merge_counts/to_process/Common_Negative_R1.counts	analysis/screen/output/003_merge_counts/to_process/Common_Negative_R2.counts	analysis/screen/output/003_merge_counts/to_process/Common_Positive_R1.counts	analysis/screen/output/003_merge_counts/to_process/Common_Positive_R2.counts
common:TSS100904_+_64081027.23-ENST00000603538	2000	2046	1124	1806
common:TSS100904_-_64080984.23-ENST00000603538	2440	2338	1559	1644
common:TSS100996_+_67837705.23-P1P2	1590	1786	1382	1099
common:TSS100996_+_67837708.23-P1P2	2758	2660	1662	2243
common:TSS100996_+_67837714.23-P1P2	2707	2691	2143	2133
common:TSS100996_+_67837719.23-P1P2	2554	2414	2105	1859
common:TSS100996_+_67837753.23-P1P2	3101	2951	2572	2208
common:TSS100996_-_67837526.23-P1P2	1392	1526	1191	893
common:TSS100996_-_67837640.23-P1P2	2484	2102	1449	1457
common:TSS100996_-_67837690.23-P1P2	1334	1326	762	744
common:TSS100996_-_67837722.23-P1P2	2551	2175	1859	1346
common:TSS100996_-_67837734.23-P1P2	3812	3783	3068	2682
common:TSS101427_+_92082250.23-P1P2	1673	1632	1210	1914
common:TSS101427_+_92082285.23-P1P2	433	542	292	187
common:TSS101427_+_92082335.23-P1P2	4921	4539	3034	3287
common:TSS101427_+_92082356.23-P1P2	2474	2568	1798	1803
common:TSS101427_+_92082364.23-P1P2	3248	3072	2025	2474
common:TSS101427_-_92082284.23-P1P2	432	475	331	352
common:TSS101427_-_92082311.23-P1P2	1927	1829	970	1597
common:TSS101427_-_92082320.23-P1P2	2016	1974	1342	1681
common:TSS101427_-_92082326.23-P1P2	2573	2621	1658	1760
common:TSS101427_-_92082346.23-P1P2	1814	1783	1114	1286
common:TSS101496_+_95805840.23-CUFF.47887.1,CUFF.47887.2	6748	6536	4428	4941
common:TSS101496_+_95805896.23-CUFF.47887.1,CUFF.47887.2	3678	3661	2190	2047
common:TSS101496_+_95806059.23-CUFF.47887.1,CUFF.47887.2	4754	4933	3670	4192
common:TSS101496_+_95806110.23-CUFF.47887.1,CUFF.47887.2	2004	2117	1400	1681
common:TSS101496_-_95805701.23-CUFF.47887.1,CUFF.47887.2	2981	2799	1947	2826
common:TSS101496_-_95805909.23-CUFF.47887.1,CUFF.47887.2	3197	2985	2454	2069
common:TSS101496_-_95805979.23-CUFF.47887.1,CUFF.47887.2	3080	3096	2840	2122
common:TSS101496_-_95806047.23-CUFF.47887.1,CUFF.47887.2	3128	3381	2551	2479
common:TSS101496_-_95806056.23-CUFF.47887.1,CUFF.47887.2	4803	4888	3470	3505
common:TSS101496_-_95806085.23-CUFF.47887.1,CUFF.47887.2	3466	3372	3008	2637
common:TSS101543_+_98742049.23-CUFF.47911.1,CUFF.47911.2,CUFF.47911.3	4418	4278	2951	3304
common:TSS101543_+_98742239.23-CUFF.47911.1,CUFF.47911.2,CUFF.47911.3	4111	3727	2727	2988
common:TSS101543_+_98742282.23-CUFF.47911.1,CUFF.47911.2,CUFF.47911.3	1671	1726	953	1531
common:TSS101543_+_98742354.23-CUFF.47911.1,CUFF.47911.2,CUFF.47911.3	6152	6472	4285	4881
common:TSS101543_+_98742393.23-CUFF.47911.1,CUFF.47911.2,CUFF.47911.3	2611	2626	1842	1998
common:TSS101543_+_98742442.23-CUFF.47911.1,CUFF.47911.2,CUFF.47911.3	1527	1426	754	1314
common:TSS101543_+_98742482.23-CUFF.47911.1,CUFF.47911.2,CUFF.47911.3	4989	4338	3453	3443
common:TSS101543_+_98742485.23-CUFF.47911.1,CUFF.47911.2,CUFF.47911.3	5903	6030	4187	4277
common:TSS101543_-_98742224.23-CUFF.47911.1,CUFF.47911.2,CUFF.47911.3	2329	2195	2260	1739
common:TSS101543_-_98742413.23-CUFF.47911.1,CUFF.47911.2,CUFF.47911.3	2830	3090	2902	1899
common:TSS101564_+_100025006.23-P1P2	2673	2633	1499	2374
common:TSS101564_+_100025034.23-P1P2	2492	2402	2352	1733
common:TSS101564_+_100025184.23-P1P2	2583	2645	1754	1714
common:TSS101564_+_100025187.23-P1P2	1938	1853	1445	1376
common:TSS101564_+_100025235.23-P1P2	3150	2900	1410	1535
common:TSS101564_+_100025241.23-P1P2	2389	2559	1546	2128
common:TSS101564_+_100025251.23-P1P2	2597	2234	1272	1272
common:TSS101564_+_100025294.23-P1P2	940	1372	1065	983
common:TSS101564_-_100025195.23-P1P2	2549	2440	2074	2007
common:TSS101564_-_100025216.23-P1P2	4668	5221	2802	3316
common:TSS102040_+_125320330.23-ENST00000607837	3615	3379	2240	2747
common:TSS102040_+_125320447.23-ENST00000607837	3671	3650	2894	2798
common:TSS102040_+_125320454.23-ENST00000607837	3043	2939	2102	2006
common:TSS102040_+_125320562.23-ENST00000607837	2235	2406	1860	1786
common:TSS102040_-_125320172.23-ENST00000607837	2488	2799	1843	1469
common:TSS102040_-_125320179.23-ENST00000607837	3394	3527	2184	2237
common:TSS102040_-_125320205.23-ENST00000607837	3875	3904	3273	2657
common:TSS102040_-_125320490.23-ENST00000607837	3550	3316	2649	2412
common:TSS102040_-_125320560.23-ENST00000607837	3688	4067	2547	3066
common:TSS102040_-_125320569.23-ENST00000607837	4225	4266	3294	3158
common:TSS102045_+_125486557.23-P1	1858	1688	1452	1273
common:TSS102045_+_125486563.23-P1	2429	2597	1405	1732
