	rho	rho	rho
	Rep1	Rep2	ave_Rep1_Rep2
common:TSS100272_-_30013708.23-ENST00000607315	-0.2887101688354571	-0.02422632446951402	-0.15646824665248554
common:TSS100272_-_30013780.23-ENST00000607315	-0.5109462597777673	-0.17042170719359165	-0.34068398348567946
common:TSS100533_+_41401990.23-P1P2	-0.21709962911325312	0.251907492007537	0.017403931447141932
common:TSS100533_+_41402004.23-P1P2	-0.10993620549346951	-0.2596887046708676	-0.18481245508216854
common:TSS100533_+_41402022.23-P1P2	-0.021273250969453882	0.23375395688599004	0.10624035295826809
common:TSS100533_+_41402335.23-P1P2	-0.11283142998984078	0.18222102130438295	0.034694795657271085
common:TSS100533_+_41402367.23-P1P2	-0.04535419204657208	0.25367080092116856	0.10415830443729823
common:TSS100533_+_41402411.23-P1P2	-0.20518536785985755	-0.01054383064641004	-0.1078645992531338
common:TSS100533_-_41402035.23-P1P2	-0.005528238947596104	-0.0036943821733318	-0.004611310560463952
common:TSS100533_-_41402302.23-P1P2	-0.058170218897840964	-0.1810860336696995	-0.11962812628377023
common:TSS100533_-_41402307.23-P1P2	0.002861125930729156	0.14544702813331414	0.07415407703202165
common:TSS100533_-_41402382.23-P1P2	-0.3694262664386451	-0.12246417243562244	-0.24594521943713377
common:TSS100559_+_42262883.23-CUFF.47094.1	0.2477364619253551	0.23321614837905932	0.2404763051522072
common:TSS100559_+_42263032.23-CUFF.47094.1	-0.13973764529003252	-0.052626007870129866	-0.09618182658008119
common:TSS100559_+_42263145.23-CUFF.47094.1	0.14378671354962452	0.06897362241974592	0.10638016798468522
common:TSS100559_+_42263232.23-CUFF.47094.1	0.1594009952252417	-0.09875923438659268	0.030320880419324514
common:TSS100559_-_42262939.23-CUFF.47094.1	-0.061062225064921816	-0.009362457366914753	-0.035212341215918284
common:TSS100559_-_42262960.23-CUFF.47094.1	-0.31940596727285386	0.15295534865763977	-0.08322530930760705
common:TSS100559_-_42263152.23-CUFF.47094.1	-0.057103795582714126	-0.3090785784453424	-0.18309118701402827
common:TSS100559_-_42263165.23-CUFF.47094.1	0.07384266972452876	-0.1406970816230989	-0.033427205949285076
common:TSS100559_-_42263174.23-CUFF.47094.1	-0.0411985567004495	0.04142479625517212	0.00011311977736130907
common:TSS100559_-_42263262.23-CUFF.47094.1	-0.26389576086862454	-0.3239885272326317	-0.29394214405062813
common:TSS100574_+_42882330.23-CUFF.47126.1,CUFF.47126.2	-0.19936170026727362	-0.11464514100663664	-0.15700342063695513
common:TSS100574_+_42882388.23-CUFF.47126.1,CUFF.47126.2	-0.39870979773968773	-0.3775155031285996	-0.38811265043414367
common:TSS100574_+_42882409.23-CUFF.47126.1,CUFF.47126.2	0.2686978581785319	-0.1887398329919132	0.03997901259330937
common:TSS100574_+_42882515.23-CUFF.47126.1,CUFF.47126.2	-0.36157754041249407	-0.1313592545372069	-0.2464683974748505
common:TSS100574_+_42882612.23-CUFF.47126.1,CUFF.47126.2	-0.1558641798580978	-0.18959381325354446	-0.17272899655582113
common:TSS100574_+_42882617.23-CUFF.47126.1,CUFF.47126.2	-0.09631532805330381	-0.05160843865204432	-0.07396188335267406
common:TSS100574_+_42882620.23-CUFF.47126.1,CUFF.47126.2	0.17881742859622102	-0.39264721629216376	-0.10691489384797137
common:TSS100574_-_42882315.23-CUFF.47126.1,CUFF.47126.2	-0.2249571644567625	-0.38130025136471696	-0.30312870791073976
common:TSS100574_-_42882343.23-CUFF.47126.1,CUFF.47126.2	-0.08795123872000427	0.002808643631832048	-0.04257129754408611
common:TSS100574_-_42882406.23-CUFF.47126.1,CUFF.47126.2	0.1762127416250197	-0.17343746114455538	0.001387640240232163
common:TSS100576_+_42885409.23-CUFF.47126.5	-0.18336556113485356	-0.11975463191174468	-0.1515600965232991
common:TSS100576_+_42885412.23-CUFF.47126.5	-0.05994555277959947	-0.13743981632260346	-0.09869268455110147
common:TSS100576_+_42885452.23-CUFF.47126.5	-0.11016002918005222	-0.11652160767135483	-0.11334081842570352
common:TSS100576_+_42885490.23-CUFF.47126.5	-0.3539544160429291	-0.1315911369444925	-0.24277277649371082
common:TSS100576_+_42885746.23-CUFF.47126.5	0.1913266162222794	-0.272261155299236	-0.040467269538478304
common:TSS100576_+_42885753.23-CUFF.47126.5	0.09561968035917544	-0.033765754020367904	0.030926963169403767
common:TSS100576_+_42885766.23-CUFF.47126.5	0.1494577541624967	-0.03239757108185727	0.05853009154031972
common:TSS100576_+_42885775.23-CUFF.47126.5	-0.18239194311463813	-0.06555428262865257	-0.12397311287164535
common:TSS100576_-_42885405.23-CUFF.47126.5	-0.03631848351427031	0.14110877773521252	0.05239514711047111
common:TSS100576_-_42885503.23-CUFF.47126.5	-0.8537379194679098	-0.6626825766669561	-0.7582102480674329
common:TSS100611_+_48647551.23-P1P2	-0.2909569776132005	-0.008566093359649071	-0.1497615354864248
