gene,Mann-Whitney p-value,average log2 enrichment of strongest 3 sgRNAs,sgRNAs passing filter,screen score
LH00959,0.103018716,0.7673727,10,1.152400038
LH00962,0.083134595,0.73630523,10,1.210074884
LH00964,0.111209681,-0.47186722,10,0.684772214
LH00967,0.850828163,0.438364054,10,0.046790306
LH00969,0.253665284,-0.660886078,9,0.598998141
LH00974,0.427476931,0.63207219,10,0.354926698
LH00975,0.693280207,0.138105447,10,0.033427187
LH00976,0.31084792,0.254886928,10,0.196782025
LH00979,0.211648925,-1.123860157,10,1.15308774
LH00984,0.38527451,0.696063805,10,0.438665193
LH00986,0.448454722,0.178440203,10,0.094550941
LH00987,0.044247409,-0.836034759,10,1.722351687
LH00989,0.473866486,0.607332916,10,0.299692283
LH00990,0.741598472,0.130492508,6,0.025775519
LH00993,0.419609567,0.407840563,10,0.234019859
LH00995,0.596508949,0.158782614,9,0.054204561
LH00997,0.946851994,-0.286950185,9,0.010354417
LH00998,0.595590406,0.208249063,10,0.071303261
LH00999,0.414511864,-0.214494244,10,0.124809595
LH01000,0.398855861,0.20239262,10,0.122916642
LH01005,0.046268754,-0.219389022,10,0.445497618
LH01006,0.658514846,0.045801521,8,0.012642777
LH01007,0.640375188,0.825226296,9,0.243021046
LH01011,0.504747149,0.450376501,8,0.203454359
LH01015,0.696367701,-0.177418057,10,0.042421549
LH01018,0.86436306,0.32169117,10,0.030982167
LH01021,0.403613992,-0.300265478,9,0.180003824
LH01022,0.43420054,0.404121364,10,0.222758644
LH01023,0.584056592,0.314446375,10,0.111727521
LH01036,0.304466626,-0.229486443,9,0.180317073
LH01037,0.343055544,0.40478425,10,0.286140225
LH01039,0.581189467,0.345977347,10,0.124055903
LH01047,0.601032407,0.061914973,10,0.020827226
LH01049,0.721245182,-1.287459617,10,0.277978452
LH01050,0.962650622,-0.430280169,9,0.010821845
LH01051,0.160571993,1.02819147,10,1.242561627
LH01052,0.152626663,-0.296349261,10,0.368072637
LH01054,0.192091128,0.072208689,10,0.07871257
LH01055,0.012033918,0.799508547,10,2.334936762
LH01056,0.030523208,0.795710338,10,1.834494872
LH01057,0.003821943,1.233562072,10,4.537421492
LH01058,0.008146766,0.931888919,10,2.96175082
LH01061,0.003463237,0.919142326,10,3.440742308
LH01062,0.628943449,0.026108748,10,0.00799951
LH01063,0.583697843,0.081137136,10,0.028862183
LH01064,0.15701999,-1.228213953,10,1.502440485
LH01079,0.067394896,-1.211824138,9,2.159621639
LH01081,0.121406162,0.329859431,10,0.459571507
LH01082,0.624499634,-0.071677379,10,0.02229718
LH01089,0.726202925,0.320140028,8,0.067673153
LH01090,0.947103919,0.329466069,10,0.011830664
LH01093,0.637871387,-1.56115622,10,0.463786191
LH01095,0.679450061,0.130561779,10,0.033339628
LH01096,0.474189063,0.229940028,10,0.113361979
LH01098,0.328683584,-0.430769519,9,0.316690121
LH01106,0.16355179,0.197882317,10,0.236735187
LH01113,0.280236378,-1.147038812,10,0.964126439
LH01115,0.179586174,-0.417814826,10,0.474030885
LH01116,0.923009989,-0.029117839,10,0.00154135
LH01118,0.338290591,0.936241633,10,0.670477664
LH01120,0.559547238,0.332358024,10,0.127506057
LH01121,0.339081784,0.503132613,10,0.359535494
LH01128,0.347856093,-0.087381289,9,0.060967127
LH01129,0.185587248,0.309479978,10,0.34439844
LH01139,0.852876185,0.321823725,10,0.033839741
LH01143,0.3976889,-0.233723926,10,0.14239719
LH01155,0.687889353,0.091467222,10,0.022610598
LH01161,0.829450003,0.102099491,9,0.012614639
LH01165,0.322299555,-0.744380417,8,0.556895361
LH01174,0.72192306,-0.188501114,9,0.040582716
LH01175,0.264269751,-1.112734358,10,0.978422752
LH01179,0.439746839,-0.333461557,10,0.181013167
LH01181,0.019923371,0.294524426,10,0.762036635
LH01184,0.418347604,0.90592869,9,0.521626898
LH01185,0.88871378,0.203945869,9,0.015898299
LH01186,0.389002485,0.767927624,10,0.479068324
LH01187,0.702170298,0.211422975,10,0.049393091
LH01188,0.232811418,0.510280492,10,0.491419751
LH01189,0.513509456,1.09234237,9,0.481035947
LH01190,0.769873274,-0.338085199,10,0.058421645
LH01194,0.068307727,1.126748118,9,1.997989605
LH01196,0.579035472,0.496385177,8,0.179204927
LH01206,0.18437532,0.742873891,10,0.829907788
LH01209,0.298299698,0.308662666,10,0.246702402
LH01210,0.623760316,0.665327032,10,0.207488633
LH01218,0.780276735,0.200719348,10,0.032904462
LH01246,0.475157522,0.506114961,10,0.248835795
LH01247,0.139727124,0.450753492,10,0.586145542
LH01249,0.7753705,-0.108441058,1,0.018228983
LH01250,0.843872493,-0.102284732,10,0.01147249
LH01253,0.248513109,0.710680176,10,0.653764936
LH01257,0.824300285,0.296159145,10,0.037809878
LH01260,0.59307472,0.539543484,9,0.186245504
LH01265,0.780353344,-0.077647244,8,0.012723884
LH01270,0.151225663,0.798076781,8,0.996092558
LH01271,0.314603919,0.181981883,10,0.139052483
LH01272,0.755139898,0.405362882,10,0.075222725
LH01274,0.129258529,0.119548348,10,0.161608356
LH01276,0.67466852,-0.219412371,8,0.057051927
LH01278,0.71032312,1.075923028,10,0.243152829
LH01281,0.017419064,-0.981271302,9,2.625981582
LH01283,0.371420237,-0.875877761,10,0.573179407
LH01284,0.005043985,0.929573519,10,3.248855371
LH01285,0.323526844,-0.140644495,9,0.104867559
LH01287,0.435660505,0.319067457,9,0.175167795
LH01288,0.64116362,-0.200852116,9,0.058985685
LH01289,0.65890682,0.551213517,10,0.151936943
LH01290,0.963967923,-0.365943872,9,0.008873098
LH01293,0.199126366,0.337908653,10,0.3603134
