,sgRNA read counts,,,,sgRNA phentoypes,,
,T0,T0,T14,T14,gamma,gamma,gamma
,Rep1,Rep2,Rep1,Rep2,Rep1,Rep2,ave_Rep1_Rep2
sgId,,,,,,,
ABL2_-_179112151.23-P1,1786,2067,1493,2839,-0.342819237,0.12543886,-0.108690188
ABL2_-_179112154.23-P1,23,166,99,35,2.021493342,-2.578162015,-0.278334336
ABL2_-_179112158.23-P1,714,737,1045,1808,0.465205641,0.962252553,0.713729097
ABL2_-_179198834.23-P2,234,611,338,573,0.446213395,-0.425042841,0.010585277
ABO_+_136150190.23-P1,249,698,509,671,0.947218592,-0.38931987,0.278949361
ABO_+_136150601.23-P1,1609,1737,1304,2544,-0.387521778,0.218095316,-0.084713231
ABO_-_136130692.23-P2,2392,3260,2532,4439,-0.002241306,0.112957144,0.055357919
ABO_-_136130921.23-P2,1293,1351,1172,2699,-0.226051027,0.665991702,0.219970337
ABO_-_136130955.23-P2,1227,1282,1038,1598,-0.325630127,-0.014534454,-0.17008229
ABO_-_136130959.23-P2,764,473,350,928,-1.210519038,0.639879022,-0.285320008
ABO_-_136130966.23-P2,1087,1790,1056,1778,-0.126043427,-0.342109864,-0.234076645
ABO_-_136150219.23-P1,1286,1565,1105,1954,-0.303145595,-0.01213779,-0.157641692
ABO_-_136150600.23-P1,1050,1655,1171,1850,0.073050426,-0.171711547,-0.04933056
ABO_-_136150606.23-P1,2097,3500,1974,3745,-0.171506193,-0.234794804,-0.203150498
ACACA_+_35715534.23-P1P2,712,958,785,663,0.056514091,-0.863422386,-0.403454147
ACACA_+_35715655.23-P1P2,996,782,1164,364,0.140572089,-1.435635757,-0.647531834
ACACA_-_35715847.23-P1P2,385,206,144,523,-1.503090956,1.011761009,-0.245664973
ACACA_-_35715992.23-P1P2,1706,1420,1588,1138,-0.187708056,-0.651795972,-0.419752014
ACACA_-_35716002.23-P1P2,500,420,430,700,-0.301892757,0.404559994,0.051333619
ACACB_+_109569160.23-P1,731,771,322,928,-1.267112039,-0.065011655,-0.666061847
ACACB_+_109569170.23-P1,896,1368,1369,2407,0.527250488,0.482762311,0.505006399
ACACB_+_109592574.23-P2,669,815,721,1038,0.023691727,0.016528879,0.020110303
ACACB_+_109592655.23-P2,357,536,357,504,-0.084301322,-0.421214867,-0.252758094
ACACB_+_109592908.23-P2,1629,2679,2179,2749,0.335378271,-0.295193275,0.020092498
ACACB_-_109569178.23-P1,1681,2319,1481,2581,-0.267049405,-0.177978279,-0.222513842
ACACB_-_109569231.23-P1,3422,2005,2534,2350,-0.517724557,-0.10334708,-0.310535819
