,sgRNA read counts,,,,sgRNA phentoypes,,
,T0,T0,T14,T14,gamma,gamma,gamma
,Rep1,Rep2,Rep1,Rep2,Rep1,Rep2,ave_Rep1_Rep2
sgId,,,,,,,
MAPK15_-_144798594.23-P1P2,517,210,574,526,0.066585135,0.992267871,0.529426503
MAPK15_-_144798966.23-P1P2,369,573,346,481,-0.1771501,-0.584903845,-0.381026973
MAPK1_+_22221893.23-P1P2,1679,3075,1895,3943,0.090294297,0.0263017,0.058297998
MAPK1_+_22221900.23-P1P2,1712,2749,1345,3453,-0.43237785,-0.003462173,-0.217920012
MAPK1_-_22221517.23-P1P2,1251,1139,1269,1917,-0.063691042,0.41867699,0.177492974
MAPK1_-_22221858.23-P1P2,453,379,574,876,0.257238365,0.876327421,0.566782893
MAPK1_-_22221879.23-P1P2,867,1380,499,989,-0.881293499,-0.813031441,-0.84716247
MAPK3_+_30134158.23-P1P2,1437,2047,1656,2504,0.12034129,-0.04168214,0.039329575
MAPK3_+_30134224.23-P1P2,511,510,520,613,-0.059112989,-0.067015773,-0.063064381
MAPK3_+_30134473.23-P1P2,663,1182,996,1201,0.50283555,-0.309399485,0.096718033
MAPK3_-_30134173.23-P1P2,621,869,1247,1164,0.92149497,0.089257376,0.505376173
MAPK3_-_30134490.23-P1P2,912,1187,1007,1982,0.058656632,0.407231427,0.23294403
MAPK4_+_48086657.23-P1P2,1326,1836,1355,2976,-0.053089245,0.364402867,0.155656811
MAPK4_+_48086820.23-P1P2,858,1056,687,1363,-0.40496887,0.035770127,-0.184599372
MAPK4_+_48086890.23-P1P2,1074,1874,791,2176,-0.525545715,-0.116847997,-0.321196856
MAPK4_-_48086502.23-P1P2,939,1600,1051,2605,0.078264285,0.370805867,0.224535076
MAPK4_-_48086531.23-P1P2,433,915,313,418,-0.552505689,-1.462674401,-1.007590045
MAPK6_+_52312067.23-P1P2,681,972,1335,1948,0.886811717,0.670559858,0.778685788
MAPK6_+_52312100.23-P1P2,998,1169,781,1425,-0.438018589,-0.046718611,-0.2423686
MAPK6_-_52311450.23-P1P2,610,646,1094,976,0.758430269,0.262941383,0.510685826
MAPK6_-_52311453.23-P1P2,629,652,367,706,-0.861581276,-0.217609381,-0.539595328
MAPK6_-_52311462.23-P1P2,1910,2234,1408,3409,-0.524226626,0.277313813,-0.123456406
MAPK7_+_19281101.23-P1P2,915,1203,912,1552,-0.089039241,0.035086315,-0.026976463
MAPK7_+_19282166.23-P1P2,1256,1811,1243,2123,-0.099311489,-0.103087775,-0.101199632
MAPK7_-_19281081.23-P1P2,478,398,753,1569,0.571337925,1.646599416,1.108968671
MAPK7_-_19281094.23-P1P2,533,759,1040,1223,0.880074769,0.355847013,0.617960891
MAPK7_-_19281159.23-P1P2,534,843,374,1062,-0.598102793,0.00077363,-0.298664582
MAPK8IP1_+_45907239.23-P2,774,1405,1051,2065,0.357055876,0.223166051,0.290110964
MAPK8IP1_+_45907688.23-P2,573,549,663,901,0.12617241,0.382315357,0.254243883
MAPK8IP1_+_45921668.23-P1,753,1430,780,1434,-0.033477062,-0.328375723,-0.180926393
MAPK8IP1_+_45922088.23-P1,549,1428,817,1021,0.489228608,-0.816418713,-0.163595053
MAPK8IP1_-_45907276.23-P2,671,704,614,1179,-0.212375432,0.411510784,0.099567676
MAPK8IP1_-_45907580.23-P2,498,538,234,720,-1.173938534,0.087985133,-0.5429767
MAPK8IP1_-_45907653.23-P2,1301,2183,1973,2584,0.516468672,-0.089111661,0.213678506
MAPK8IP1_-_45921715.23-P1,175,481,254,440,0.453172253,-0.460938971,-0.003883359
MAPK8IP1_-_45922057.23-P1,379,359,359,409,-0.162515326,-0.144288601,-0.153401964
MAPK8IP1_-_45922095.23-P1,514,354,401,151,-0.442467444,-1.561606411,-1.002036928
MAPK8IP2_+_51039278.23-P1P2,900,1510,822,1761,-0.215087929,-0.110559241,-0.162823585
MAPK8IP2_-_51039250.23-P1P2,1155,951,1121,1919,-0.127407895,0.680431865,0.276511985
MAPK8IP2_-_51039253.23-P1P2,35,38,112,36,1.593770584,,
MAPK8IP2_-_51039587.23-P1P2,1851,2502,1695,2719,-0.211320943,-0.212411238,-0.211866091
MAPK8IP2_-_51039617.23-P1P2,675,1044,613,1584,-0.22330175,0.269045023,0.022871637
MAPK8IP3_-_1756208.23-P1P2,1727,2278,1467,2222,-0.319700533,-0.368314531,-0.344007532
MAPK8IP3_-_1756242.23-P1P2,766,1106,518,1113,-0.648693616,-0.323303393,-0.485998504
MAPK8IP3_-_1756275.23-P1P2,665,824,1028,1130,0.544112697,0.12320093,0.333656814
MAPK8IP3_-_1756368.23-P1P2,862,665,585,1275,-0.643552566,0.606665401,-0.018443583
MAPK8IP3_-_1756404.23-P1P2,623,1140,572,1249,-0.207518338,-0.200665948,-0.204092143
MAPK8_+_49515119.23-P1P2,1490,2119,1497,2282,-0.077539431,-0.225490396,-0.151514914
MAPK8_+_49515127.23-P1P2,475,707,550,318,0.127202784,-1.48508905,-0.678943133
MAPK8_-_49514766.23-P1P2,1276,2008,1935,2979,0.516403916,0.236663254,0.376533585
MAPK8_-_49514791.23-P1P2,928,1077,731,1380,-0.428554721,0.025244417,-0.201655152
MAPK8_-_49515026.23-P1P2,620,880,841,928,0.355536263,-0.255784319,0.049875972
MAPK9_+_179718994.23-P1P2,773,1248,676,1394,-0.277746489,-0.172792973,-0.225269731
MAPK9_+_179719015.23-P1P2,676,936,620,776,-0.209056353,-0.602857478,-0.405956915
MAPK9_+_179719045.23-P1P2,646,628,692,1189,0.014936551,0.588506651,0.301721601
MAPK9_-_179718613.23-P1P2,2415,2279,2066,3436,-0.309484256,0.259923512,-0.024780372
MAPK9_-_179719011.23-P1P2,405,524,410,1034,-0.06659932,0.648191869,0.290796274
MAPKAP1_+_128412327.23-P2,531,554,993,1200,0.818780535,0.782670924,0.80072573
MAPKAP1_+_128412632.23-P2,1436,1645,2195,3067,0.527863869,0.566334982,0.547099426
MAPKAP1_+_128412671.23-P2,445,498,562,861,0.252463473,0.457461895,0.354962684
MAPKAP1_+_128412686.23-P2,2522,2934,2415,4291,-0.146846408,0.21603943,0.034596511
MAPKAP1_+_128469261.23-P1,330,403,316,104,-0.146842788,-2.286601911,-1.216722349
MAPKAP1_+_128469415.23-P1,1062,902,584,239,-0.947044813,-2.248522416,-1.597783615
MAPKAP1_+_128469461.23-P1,1799,976,710,244,-1.425605578,-2.3324056,-1.879005589
MAPKAP1_+_128469476.23-P1,1775,1138,1343,660,-0.486661041,-1.118368228,-0.802514635
MAPKAP1_-_128412268.23-P2,701,1320,578,1609,-0.362646273,-0.046779204,-0.204712738
MAPKAP1_-_128469133.23-P1,670,497,693,104,-0.035607065,-2.589067924,-1.312337494
MAPKAPK2_+_206858711.23-P1P2,207,308,288,583,0.392136722,0.588159932,0.490148327
MAPKAPK2_-_206858257.23-P1P2,512,467,464,955,-0.226320326,0.699672583,0.236676128
MAPKAPK2_-_206858409.23-P1P2,802,832,707,721,-0.266193343,-0.538989869,-0.402591606
MAPKAPK2_-_206858786.23-P1P2,1577,2308,2337,2742,0.483173752,-0.083820253,0.19967675
MAPKAPK2_-_206858800.23-P1P2,980,1502,1086,1696,0.063869127,-0.157154243,-0.046642558
MAPKAPK3_+_50654590.23-P1P2,919,1176,1180,2087,0.276348771,0.49513694,0.385742856
MAPKAPK3_+_50654634.23-P1P2,1477,1781,1075,2557,-0.542634488,0.189359044,-0.176637722
MAPKAPK3_+_50654641.23-P1P2,527,847,825,966,0.562289836,-0.142744381,0.209772728
MAPKAPK3_+_50654647.23-P1P2,1044,1887,1087,1829,-0.026071093,-0.377444948,-0.201758021
MAPKAPK3_+_50654665.23-P1P2,272,162,109,158,-1.403579838,-0.368474855,-0.886027346
MAPKAPK5_+_112280458.23-P1P2,663,1296,851,1939,0.27584894,0.248841485,0.262345212
MAPKAPK5_-_112280047.23-P1P2,308,624,585,1143,0.841204952,0.540801869,0.691003411
MAPKAPK5_-_112280058.23-P1P2,869,1147,554,1123,-0.733771522,-0.362913064,-0.548342293
MAPKAPK5_-_112280061.23-P1P2,1719,2652,1230,3515,-0.567212551,0.074038314,-0.246587119
MAPKAPK5_-_112280444.23-P1P2,602,1106,409,669,-0.641963965,-1.05767887,-0.849821418
MAPKBP1_+_42066684.23-P1P2,1371,2104,1620,2535,0.15646392,-0.063554558,0.046454681
MAPKBP1_+_42066764.23-P1P2,496,310,528,681,0.005896487,0.802980982,0.404438735
MAPKBP1_+_42067047.23-P1P2,1158,2648,1557,2441,0.34283237,-0.449836427,-0.053502029
MAPKBP1_-_42066728.23-P1P2,692,768,625,1171,-0.23121717,0.27615726,0.022470045
MAPKBP1_-_42066929.23-P1P2,896,1287,792,830,-0.262299624,-0.965234412,-0.613767018
MARCKS_+_114178579.23-P1P2,745,1261,751,1291,-0.072728839,-0.298484875,-0.185606857
MARCKS_+_114178793.23-P1P2,1374,1576,1284,1957,-0.182038123,-0.020029379,-0.101033751
MARCKS_+_114178796.23-P1P2,697,1164,982,1512,0.410263047,0.044961481,0.227612264
MARCKS_+_114178858.23-P1P2,928,1137,1007,1307,0.033565651,-0.131378713,-0.048906531
MARCKS_-_114178610.23-P1P2,2110,2486,1897,3051,-0.237824642,-0.036949717,-0.137387179
MARK1_+_220701807.23-P1P2,756,1518,924,1908,0.205205296,-0.00251622,0.101344538
MARK1_+_220701920.23-P1P2,588,498,593,739,-0.072085372,0.237023022,0.082468825
MARK1_+_220701924.23-P1P2,1803,2625,1446,3251,-0.402633166,-0.023839467,-0.213236317
MARK1_+_220702229.23-P1P2,138,416,382,778,1.38460305,0.570781027,0.977692038
MARK1_-_220701952.23-P1P2,1472,1959,1880,2236,0.268653669,-0.14160281,0.06352543
MARK2_+_63606628.23-P1,1686,2454,1716,2087,-0.058856305,-0.566110249,-0.312483277
MARK2_+_63656051.23-P2,916,1338,847,1485,-0.19728695,-0.182020785,-0.189653868
MARK2_+_63656055.23-P2,1901,1770,1599,2291,-0.333889915,0.039822498,-0.147033708
MARK2_+_63656113.23-P2,699,949,899,1317,0.278727339,0.140369753,0.209548546
MARK2_+_63656366.23-P2,552,504,777,1516,0.40894501,1.256368514,0.832656762
MARK2_-_63606604.23-P1,645,755,645,624,-0.084301322,-0.607336216,-0.345818769
MARK2_-_63606618.23-P1,2166,2924,2745,3619,0.257471585,-0.024757804,0.11635689
MARK2_-_63607026.23-P1,752,1641,790,1415,-0.01318133,-0.546178786,-0.279680058
MARK2_-_63607048.23-P1,1001,2005,993,1659,-0.095877673,-0.605693951,-0.350785812
MARK2_-_63656296.23-P2,373,526,405,915,0.034444956,0.466303344,0.25037415
MARK3_+_103851946.23-P1,740,672,639,500,-0.296010661,-0.758938738,-0.5274747
MARK3_+_103871446.23-P2,651,659,837,1035,0.278268758,0.318874797,0.298571777
MARK3_+_103871459.23-P2,196,187,294,399,0.500661179,0.760944876,0.630803028
MARK3_+_103871494.23-P2,1269,2541,1071,3177,-0.329034911,-0.010136886,-0.169585898
MARK3_+_103871511.23-P2,1135,1578,1573,1817,0.386525052,-0.128944386,0.128790333
MARK3_-_103851740.23-P1,1621,1861,1489,2461,-0.206841658,0.070761002,-0.068040328
MARK3_-_103851762.23-P1,1355,2091,1281,2939,-0.165323697,0.158726697,-0.0032985
MARK3_-_103851778.23-P1,1406,1695,1366,2518,-0.125940432,0.238587409,0.056323489
MARK3_-_103851786.23-P1,469,995,753,1005,0.598760621,-0.31797853,0.140391045
MARK3_-_103871548.23-P2,1284,1515,1212,2075,-0.167556825,0.121387942,-0.023084441
MARK4_+_45754564.23-P1P2,1147,1070,1151,2476,-0.079278879,0.877994918,0.399358019
MARK4_+_45754924.23-P1P2,1934,2629,1973,3645,-0.05549816,0.138999072,0.041750456
MARK4_+_45754957.23-P1P2,688,1097,704,1486,-0.051134458,0.10546499,0.027165266
MARK4_+_45754981.23-P1P2,460,1241,622,1184,0.350979398,-0.400239635,-0.024630119
MARK4_+_45755019.23-P1P2,1619,2957,2758,6452,0.68421815,0.793206595,0.738712372
MASP2_+_11107250.23-P1P2,747,1043,892,2084,0.171634146,0.666210519,0.418922333
MASP2_+_11107254.23-P1P2,1023,1216,1137,1551,0.068124788,0.018649857,0.043387322
MASP2_+_11107258.23-P1P2,986,1350,984,1158,-0.087230653,-0.553729754,-0.320480203
MASP2_+_11107300.23-P1P2,613,950,769,1900,0.242795203,0.6675944,0.455194801
MASP2_-_11107265.23-P1P2,1039,931,1359,1136,0.30304848,-0.045295838,0.128876321
MAST1_+_12944770.23-P2,1649,2625,1210,3096,-0.530885673,-0.094317552,-0.312601612
MAST1_+_12944776.23-P2,1024,1388,1240,2027,0.191823084,0.213932921,0.202878002
MAST1_+_12944779.23-P2,2294,2912,3284,4125,0.433287414,0.169978164,0.301632789
MAST1_+_12945172.23-P2,226,483,218,355,-0.136295959,-0.776609765,-0.456452862
MAST1_+_12945186.23-P2,667,823,697,1601,-0.020829427,0.627603372,0.303386972
MAST1_+_12949344.23-P1,781,405,160,99,-2.371551965,-2.364827078,-2.368189521
MAST1_+_12949376.23-P1,1423,1191,868,1600,-0.797470036,0.093492892,-0.351988572
MAST1_+_12949519.23-P1,496,458,149,267,-1.819329111,-1.110913457,-1.465121284
MAST1_+_12949693.23-P1,958,914,897,1570,-0.179218992,0.448092888,0.134436948
MAST1_+_12949712.23-P1,549,986,618,1268,0.086499367,0.030489593,0.05849448
MAST2_+_46269318.23-P1P2,402,705,573,689,0.427038316,-0.365524875,0.030756721
MAST2_-_46269291.23-P1P2,578,646,257,546,-1.253602455,-0.575038814,-0.914320634
MAST2_-_46269333.23-P1P2,693,857,895,1053,0.284731008,-0.035267273,0.124731868
MAST2_-_46269336.23-P1P2,255,343,479,669,0.825227087,0.631392034,0.728309561
MAST2_-_46269769.23-P1P2,211,38,17,62,-3.717937669,0.373863197,-1.672037236
MAST3_+_18208647.23-P1P2,1892,2265,1610,2705,-0.317152722,-0.076288056,-0.196720389
MAST3_+_18209026.23-P1P2,592,1610,674,1272,0.102850094,-0.672367618,-0.284758762
MAST3_-_18208625.23-P1P2,1344,1977,830,2294,-0.779651218,-0.11785308,-0.448752149
MAST3_-_18208658.23-P1P2,193,290,81,350,-1.336908356,-0.061103578,-0.699005967
MAST3_-_18208662.23-P1P2,1553,1484,1640,2609,-0.005663336,0.481600252,0.237968458
"MAST4_+_65892185.23-ENST00000403625.2,ENST00000404260.3",1100,1225,1403,1166,0.266710164,-0.403619561,-0.068454699
"MAST4_+_65892577.23-ENST00000403625.2,ENST00000404260.3",763,552,382,979,-1.08241174,0.494234993,-0.294088374
"MAST4_+_65892684.23-ENST00000403625.2,ENST00000404260.3",508,243,323,629,-0.737595654,1.039698103,0.151051225
"MAST4_-_65892199.23-ENST00000403625.2,ENST00000404260.3",1532,1253,1247,2401,-0.381256154,0.605843389,0.112293618
"MAST4_-_65892226.23-ENST00000403625.2,ENST00000404260.3",1217,1367,1235,1427,-0.063119448,-0.270433508,-0.166776478
MASTL_+_27444335.23-P1P2,1615,2439,2073,3481,0.27588463,0.180806456,0.228345543
MASTL_-_27444305.23-P1P2,801,394,267,89,-1.669263822,-2.478723989,-2.073993906
MASTL_-_27444315.23-P1P2,771,564,271,138,-1.59273933,-2.363432496,-1.978085913
MASTL_-_27444320.23-P1P2,888,219,326,111,-1.529989034,-1.312776794,-1.421382914
MASTL_-_27444413.23-P1P2,923,628,401,547,-1.287029733,-0.531629326,-0.90932953
MAT1A_+_82049318.23-P1P2,1288,2079,1316,1800,-0.053274426,-0.540298452,-0.296786439
MAT1A_+_82049410.23-P1P2,456,638,631,1038,0.384304859,0.369772514,0.377038687
MAT1A_-_82049347.23-P1P2,464,777,219,463,-1.167495257,-1.079308005,-1.123401631
MAT1A_-_82049366.23-P1P2,1071,1831,1506,2080,0.407461968,-0.148453863,0.129504053
MAT1A_-_82049387.23-P1P2,728,1350,630,605,-0.292887943,-1.49035796,-0.891622952
MAT2A_+_85766276.23-P1P2,992,985,519,1231,-1.018906904,-0.010770468,-0.514838686
MAT2A_+_85766280.23-P1P2,1219,1114,805,1308,-0.682938759,-0.100792292,-0.391865526
MAT2A_+_85766302.23-P1P2,793,1315,1116,1729,0.408642935,0.062469469,0.235556202
MAT2A_+_85766367.23-P1P2,1701,1604,1736,1893,-0.054917515,-0.093405331,-0.074161423
MAT2A_+_85766721.23-P1P2,1247,1918,1676,2480,0.342259362,0.0383318,0.190295581
MATK_+_3785894.23-P1P2,344,805,531,625,0.542001975,-0.697538194,-0.07776811
MATK_+_3786153.23-P1P2,361,669,294,893,-0.380484004,0.084248364,-0.14811782
MATK_+_3786205.23-P1P2,453,721,584,660,0.282155997,-0.459938835,-0.088891419
MATK_-_3785860.23-P1P2,1095,1431,845,1311,-0.458208945,-0.458761587,-0.458485266
MATK_-_3786253.23-P1P2,1114,1386,1067,2048,-0.146490378,0.230882858,0.04219624
MBL2_+_54530976.23-P1P2,1564,2154,1082,2021,-0.615841335,-0.424354528,-0.520097932
MBL2_+_54531349.23-P1P2,182,220,143,455,-0.432224625,0.715957421,0.141866398
MBL2_+_54531352.23-P1P2,581,439,690,1216,0.163756877,1.137444784,0.65060083
MBL2_-_54531299.23-P1P2,1055,1853,1265,2380,0.177593064,0.028693092,0.103143078
MBL2_-_54531362.23-P1P2,768,1507,926,1363,0.185604561,-0.477299455,-0.145847447
MB_+_36012953.23-P1P2,1706,2821,1548,2540,-0.224513497,-0.483783769,-0.354148633
MB_-_36012912.23-P1P2,1299,2468,2092,2945,0.603180099,-0.077480361,0.262849869
MB_-_36013180.23-P1P2,638,1162,781,1187,0.207464803,-0.301695734,-0.047115466
MB_-_36013357.23-P1P2,1525,2420,1493,2712,-0.114896399,-0.168055469,-0.141475934
MB_-_36013372.23-P1P2,193,186,60,190,-1.769867763,-0.301708803,-1.035788283
MC2R_+_13915038.23-P1P2,609,935,669,913,0.051262661,-0.366757105,-0.157747222
MC2R_+_13915064.23-P1P2,1277,2040,1095,1595,-0.306128977,-0.687418328,-0.496773653
MC2R_+_13915087.23-P1P2,741,977,841,1172,0.098330936,-0.069863498,0.014233719
MC2R_-_13915128.23-P1P2,808,1422,642,1026,-0.416083317,-0.803296334,-0.609689826
MC2R_-_13915463.23-P1P2,1372,1977,1692,2548,0.218147765,0.033646806,0.125897286
MCCC1_+_182817256.23-P1P2,128,107,404,253,1.573910161,0.909120988,1.241515575
MCCC1_+_182817292.23-P1P2,623,1044,356,1220,-0.891656244,-0.107646164,-0.499651204
MCCC1_+_182817298.23-P1P2,1089,2159,899,1475,-0.360912255,-0.882053889,-0.621483072
MCCC1_+_182817301.23-P1P2,662,858,829,1212,0.240239563,0.165934546,0.203087054
MCCC1_-_182817269.23-P1P2,699,963,795,926,0.101361083,-0.388929205,-0.143784061
MCCC2_+_70883215.23-P1P2,119,88,176,455,0.480312534,2.037885516,1.259099025
MCCC2_+_70883259.23-P1P2,336,675,430,793,0.271574105,-0.099972237,0.085800934
MCCC2_+_70883650.23-P1P2,330,293,81,449,-2.110773533,0.28340918,-0.913682176
MCCC2_-_70883196.23-P1P2,415,402,265,759,-0.731420298,0.584498784,-0.073460757
MCCC2_-_70883385.23-P1P2,815,921,985,811,0.189022344,-0.515904842,-0.163441249
MCFD2_+_47142860.23-P1,735,791,662,1329,-0.235214354,0.416185905,0.090485775
MCFD2_+_47142889.23-P1,1230,2817,1276,2731,-0.031331308,-0.37713585,-0.204233579
MCFD2_+_47142972.23-P1,822,1291,536,1179,-0.701206715,-0.463330883,-0.582268799
MCFD2_+_47168832.23-P2,1126,1550,951,2208,-0.327990903,0.178066356,-0.074962273
MCFD2_-_47142505.23-P1,343,391,392,654,0.108343756,0.409716428,0.259030092
MCFD2_-_47142680.23-P1,961,925,1047,1025,0.039351785,-0.184306961,-0.072477588
MCFD2_-_47168422.23-P2,1066,1201,762,874,-0.568645857,-0.790936566,-0.679791212
MCFD2_-_47168823.23-P2,660,676,383,766,-0.869422954,-0.152084455,-0.510753704
MCFD2_-_47168874.23-P2,1352,1340,1273,1882,-0.171164054,0.157628027,-0.006768013
MCFD2_-_47168880.23-P2,857,374,275,106,-1.724164907,-2.151379606,-1.937772256
ME2_+_48405483.23-P1P2,420,349,576,1304,0.371378162,1.569239328,0.970308745
ME2_+_48405494.23-P1P2,765,960,610,720,-0.410951827,-0.7474431,-0.579197463
ME2_+_48405509.23-P1P2,405,392,485,477,0.175761518,-0.049269988,0.063245765
ME2_-_48405558.23-P1P2,1121,2102,735,1234,-0.693271445,-1.100825875,-0.89704866
ME2_-_48405886.23-P1P2,263,187,111,256,-1.328804444,0.12069994,-0.604052252
ME3_+_86383140.23-P1P2,1242,1144,1191,547,-0.144793082,-1.396879914,-0.770836498
ME3_+_86383360.23-P1P2,149,262,69,338,-1.194945385,0.035050834,-0.579947275
ME3_-_86382994.23-P1P2,591,951,663,997,0.081549418,-0.264257437,-0.091354009
ME3_-_86383003.23-P1P2,954,1404,1248,2436,0.303255441,0.462565597,0.382910519
ME3_-_86383407.23-P1P2,926,1694,1057,2255,0.106589957,0.080287959,0.093438958
MED1_+_37607247.23-P1P2,913,752,1358,898,0.488495393,-0.076422817,0.206036288
MED1_+_37607423.23-P1P2,1381,704,987,642,-0.568892651,-0.465407732,-0.517150192
MED1_-_37607464.23-P1P2,1661,596,1033,180,-0.769513141,-2.059721024,-1.414617083
MED1_-_37607477.23-P1P2,146,123,148,143,-0.064672515,-0.115048769,-0.089860642
MED1_-_37607487.23-P1P2,1012,340,804,483,-0.416243205,0.174082842,-0.121080181
MELK_+_36572924.23-P1P2,499,978,875,1209,0.72594188,-0.026497726,0.349722077
MELK_+_36572933.23-P1P2,518,325,451,953,-0.284125986,1.219630896,0.467752455
MELK_+_36572955.23-P1P2,388,368,556,762,0.434726909,0.717679631,0.57620327
MELK_+_36572996.23-P1P2,656,933,813,1440,0.225258216,0.293714225,0.259486221
MELK_-_36572919.23-P1P2,1572,2030,2166,2723,0.378130704,0.091311655,0.234721179
MERTK_+_112656178.23-P1P2,895,1718,829,1999,-0.194816902,-0.113857165,-0.154337033
MERTK_+_112656181.23-P1P2,782,729,474,1249,-0.80658287,0.444377157,-0.181102856
MERTK_+_112656639.23-P1P2,163,302,217,224,0.328521757,-0.763455418,-0.21746683
MERTK_-_112656217.23-P1P2,1438,2511,1352,2838,-0.173269846,-0.155793039,-0.164531443
MERTK_-_112656461.23-P1P2,542,1479,630,1090,0.132757655,-0.772699518,-0.319970931
METAP1_+_99916870.23-P1P2,876,991,1150,1347,0.308329765,0.110387288,0.209358526
METAP1_+_99917305.23-P1P2,838,783,1109,996,0.319935895,0.014727835,0.167331865
METAP1_-_99916925.23-P1P2,651,1113,753,1488,0.125691,0.086515333,0.106103167
METAP1_-_99916941.23-P1P2,815,949,938,1402,0.118486542,0.230600757,0.174543649
METAP1_-_99917396.23-P1P2,910,1051,1007,865,0.061823911,-0.613396232,-0.27578616
METAP2_+_95868341.23-P1P2,1085,999,833,840,-0.465607964,-0.58250095,-0.524054457
METAP2_-_95867958.23-P1P2,1152,567,653,464,-0.903287141,-0.62162953,-0.762458336
METAP2_-_95867961.23-P1P2,579,570,567,256,-0.114515935,-1.487223709,-0.800869822
METAP2_-_95868001.23-P1P2,311,344,201,352,-0.7140204,-0.299238736,-0.506629568
METAP2_-_95868024.23-P1P2,1176,603,322,294,-1.953056788,-1.368747447,-1.660902118
MET_+_116312278.23-P1P2,274,390,180,977,-0.690480308,0.992478838,0.150999265
MET_-_116312458.23-P1P2,691,1099,336,940,-1.124525799,-0.557864325,-0.841195062
MET_-_116312513.23-P1P2,1142,1314,926,1227,-0.386779874,-0.431235627,-0.40900775
MET_-_116312516.23-P1P2,544,1027,412,1147,-0.485263636,-0.172976391,-0.329120013
MET_-_116312812.23-P1P2,469,564,436,788,-0.189561109,0.150094867,-0.019733121
MGAM_+_141695687.23-P1P2,396,584,343,913,-0.291593175,0.312240891,0.010323858
MGAM_+_141695743.23-P1P2,2428,2641,2221,2981,-0.21286035,-0.157693526,-0.185276938
MGAM_+_141696072.23-P1P2,292,494,392,441,0.340583964,-0.496137986,-0.077777011
MGAM_-_141695722.23-P1P2,998,1694,1344,2390,0.345120096,0.164171143,0.25464562
MGAM_-_141695730.23-P1P2,673,726,549,1065,-0.378101677,0.220406377,-0.07884765
MGAT1_+_180229772.23-P1,942,1058,582,1182,-0.779009228,-0.172515192,-0.47576221
MGAT1_+_180229780.23-P1,2716,3981,3148,5204,0.12865074,0.05408449,0.091367615
MGAT1_+_180229792.23-P1,748,921,550,770,-0.527907973,-0.590748311,-0.559328142
MGAT1_+_180230842.23-P2,890,1158,1206,1291,0.354051345,-0.175551853,0.089249746
MGAT1_-_180229395.23-P1,384,444,211,873,-0.948164634,0.643016377,-0.152574128
MGAT1_-_180229581.23-P1,686,1096,818,1099,0.169590945,-0.328462012,-0.079435534
MGAT1_-_180230445.23-P2,674,696,929,577,0.378628684,-0.602921587,-0.112146452
MGAT1_-_180230817.23-P2,1022,1095,1203,1597,0.150940125,0.212027843,0.181483984
MGAT1_-_180230834.23-P2,2099,3615,2850,3952,0.356958431,-0.203818301,0.076570065
MGAT1_-_180230838.23-P2,943,671,129,168,-2.954188027,-2.330257134,-2.64222258
MGST1_+_16500628.23-P1P2,622,1171,920,648,0.480417959,-1.186080958,-0.352831499
MGST1_+_16500631.23-P1P2,997,1724,923,1504,-0.195564178,-0.529360808,-0.362462493
MGST1_+_16500637.23-P1P2,547,821,489,894,-0.246007689,-0.209512991,-0.22776034
MGST1_-_16500605.23-P1P2,1207,1893,1369,2163,0.097395449,-0.140046346,-0.021325449
MGST1_-_16500686.23-P1P2,955,1029,1337,1405,0.401125506,0.116921548,0.259023527
MGST2_+_140587008.23-P1P2,1139,1487,620,1728,-0.961728948,-0.11570703,-0.538717989
MGST2_+_140587025.23-P1P2,340,747,243,775,-0.568879754,-0.279317533,-0.424098643
MGST2_+_140587342.23-P1P2,1215,1422,1461,1835,0.181698543,0.035452998,0.10857577
MGST2_+_140587387.23-P1P2,1099,1662,1194,2293,0.035310129,0.131910373,0.083610251
MGST2_-_140587238.23-P1P2,1276,1839,1415,2356,0.064872402,0.025012459,0.044942431
MGST3_+_165600134.23-P1P2,371,212,433,721,0.138646517,1.433529394,0.786087955
MGST3_+_165600864.23-P1P2,2108,2215,1973,3226,-0.179785232,0.210034139,0.015124453
MGST3_+_165600872.23-P1P2,984,714,779,1189,-0.421336309,0.403347135,-0.008994587
MGST3_+_165600896.23-P1P2,887,1015,697,1201,-0.43207677,-0.089649177,-0.260862973
MGST3_-_165600861.23-P1P2,533,974,656,1519,0.21525896,0.308722592,0.261990776
MINK1_+_4736779.23-P1P2,215,274,203,395,-0.167158254,0.19527116,0.014056453
MINK1_+_4736865.23-P1P2,1728,1634,1958,1188,0.095976226,-0.792278748,-0.348151261
MINK1_+_4737064.23-P1P2,432,966,511,1202,0.157990657,-0.017063798,0.070463429
MINK1_-_4736680.23-P1P2,350,465,797,720,1.102923481,0.29836059,0.700642035
MINK1_-_4736718.23-P1P2,1693,2413,1629,2854,-0.139896691,-0.090248181,-0.115072436
MINPP1_+_89264602.23-P1P2,1026,642,546,278,-0.994359196,-1.539894015,-1.267126605
MINPP1_+_89264692.23-P1P2,426,522,364,281,-0.311216302,-1.225885277,-0.768550789
MINPP1_+_89264695.23-P1P2,845,1324,724,1390,-0.307262966,-0.262223839,-0.284743403
MINPP1_+_89264698.23-P1P2,1205,1602,552,1221,-1.210594296,-0.724216548,-0.967405422
MINPP1_+_89265043.23-P1P2,349,680,382,671,0.04604428,-0.35162758,-0.15279165
MKNK1_+_47069708.23-P1,1132,1893,1047,1938,-0.196913837,-0.298511441,-0.247712639
